date;Johnny Vegas;tom cruise;Rail fares;Human Rights Act;air travel;isPartial
2022-01-02;2;12;0;3;6;False
2022-01-09;1;12;0;4;7;False
2022-01-16;1;11;0;3;5;False
2022-01-23;1;14;0;4;6;False
2022-01-30;1;12;0;4;7;False
2022-02-06;1;13;1;3;7;False
2022-02-13;2;13;1;3;7;False
2022-02-20;1;11;0;3;7;False
2022-02-27;1;9;1;3;6;False
2022-03-06;1;10;1;4;6;False
2022-03-13;1;10;1;4;6;False
2022-03-20;3;10;1;4;6;False
2022-03-27;3;11;0;3;6;False
2022-04-03;2;10;1;2;6;False
2022-04-10;2;11;0;3;5;False
2022-04-17;3;11;2;3;6;False
2022-04-24;2;10;1;4;6;False
2022-05-01;2;17;0;4;6;False
2022-05-08;1;19;0;4;6;False
2022-05-15;2;100;0;3;6;False
2022-05-22;2;73;1;3;6;False
2022-05-29;2;91;0;2;6;False
2022-06-05;2;58;1;3;7;False
2022-06-12;1;41;1;3;6;False
2022-06-19;1;30;0;9;6;False
2022-06-26;1;27;0;16;6;False
2022-07-03;1;41;0;4;6;False
2022-07-10;1;27;1;2;7;False
2022-07-17;1;23;1;2;6;False
2022-07-24;2;24;0;2;6;False
2022-07-31;2;22;1;2;6;False
2022-08-07;3;18;0;2;5;False
2022-08-14;1;21;0;2;5;False
2022-08-21;2;31;1;2;5;False
2022-08-28;1;30;1;2;5;False
2022-09-04;1;22;1;2;5;False
2022-09-11;1;19;0;2;5;False
2022-09-18;1;20;0;3;5;False
2022-09-25;1;18;0;3;5;False
2022-10-02;1;14;0;3;4;False
2022-10-09;1;14;0;4;4;False
2022-10-16;1;14;1;3;4;False
2022-10-23;3;15;1;3;4;False
2022-10-30;1;14;1;4;4;False
2022-11-06;2;13;0;4;4;False
2022-11-13;2;10;0;3;3;False
2022-11-20;1;9;0;4;4;False
2022-11-27;1;11;0;3;4;False
2022-12-04;1;9;0;3;4;False
2022-12-11;1;13;0;3;4;False
2022-12-18;1;27;1;2;3;False
2022-12-25;2;37;0;1;5;False
2023-01-01;2;23;1;3;5;False
2023-01-08;5;16;0;4;5;False
2023-01-15;2;16;0;3;5;False
2023-01-22;2;17;0;3;4;False
2023-01-29;1;15;0;3;5;False
