date;Ursula von der Leyen;Global economy;Virgil Abloh;Louis Vuitton;air travel;isPartial
2022-01-02;0;1;3;85;12;False
2022-01-09;0;1;2;75;13;False
2022-01-16;0;1;3;69;10;False
2022-01-23;1;1;2;71;11;False
2022-01-30;0;1;2;67;12;False
2022-02-06;0;2;2;67;12;False
2022-02-13;1;1;2;81;13;False
2022-02-20;5;1;2;71;13;False
2022-02-27;7;2;2;62;11;False
2022-03-06;3;2;1;63;12;False
2022-03-13;1;1;2;69;12;False
2022-03-20;1;1;3;71;11;False
2022-03-27;1;1;2;56;12;False
2022-04-03;4;1;2;62;11;False
2022-04-10;2;1;3;63;10;False
2022-04-17;1;1;1;63;11;False
2022-04-24;1;1;1;62;11;False
2022-05-01;3;1;7;66;11;False
2022-05-08;1;1;2;62;12;False
2022-05-15;0;1;3;63;12;False
2022-05-22;0;1;2;59;11;False
2022-05-29;2;1;1;62;12;False
2022-06-05;1;1;2;62;13;False
2022-06-12;1;1;1;61;11;False
2022-06-19;0;1;2;59;11;False
2022-06-26;1;1;2;66;11;False
2022-07-03;1;1;1;58;12;False
2022-07-10;0;0;1;67;12;False
2022-07-17;0;0;3;92;12;False
2022-07-24;0;1;1;68;12;False
2022-07-31;0;1;2;66;10;False
2022-08-07;0;0;1;62;10;False
2022-08-14;0;1;1;62;10;False
2022-08-21;0;1;2;60;9;False
2022-08-28;0;1;2;63;10;False
2022-09-04;1;1;1;61;10;False
2022-09-11;2;1;2;63;9;False
2022-09-18;1;2;1;59;9;False
2022-09-25;2;1;2;60;9;False
2022-10-02;1;1;3;60;8;False
2022-10-09;0;1;4;58;8;False
2022-10-16;1;1;3;59;7;False
2022-10-23;1;1;2;61;7;False
2022-10-30;0;1;2;57;7;False
2022-11-06;1;1;2;63;8;False
2022-11-13;0;1;2;63;6;False
2022-11-20;0;1;1;69;8;False
2022-11-27;2;1;4;71;8;False
2022-12-04;1;1;1;71;7;False
2022-12-11;1;1;2;74;7;False
2022-12-18;0;1;1;80;6;False
2022-12-25;1;1;1;100;8;False
2023-01-01;1;1;1;66;10;False
2023-01-08;0;1;2;60;9;False
2023-01-15;0;2;1;60;9;False
2023-01-22;0;1;1;61;8;False
2023-01-29;1;1;1;60;9;False
