date;rick astley;Margaret Thatcher;Kwasi Kwarteng;Bulgaria;air travel;isPartial
2022-01-02;5;7;0;32;9;False
2022-01-09;4;7;1;33;10;False
2022-01-16;4;6;1;30;7;False
2022-01-23;4;7;1;31;8;False
2022-01-30;4;8;1;32;9;False
2022-02-06;4;8;3;29;9;False
2022-02-13;3;6;1;31;9;False
2022-02-20;3;6;1;39;9;False
2022-02-27;4;6;1;35;8;False
2022-03-06;4;6;1;30;9;False
2022-03-13;4;6;1;27;9;False
2022-03-20;5;5;0;29;8;False
2022-03-27;6;6;0;27;9;False
2022-04-03;4;14;1;29;8;False
2022-04-10;4;9;1;25;7;False
2022-04-17;3;7;1;28;8;False
2022-04-24;4;6;0;31;8;False
2022-05-01;5;7;1;31;8;False
2022-05-08;4;6;0;33;9;False
2022-05-15;4;25;2;35;9;False
2022-05-22;4;6;1;34;9;False
2022-05-29;4;10;1;37;9;False
2022-06-05;4;10;1;39;10;False
2022-06-12;3;7;1;36;8;False
2022-06-19;4;7;1;35;8;False
2022-06-26;4;7;1;35;8;False
2022-07-03;4;13;4;38;9;False
2022-07-10;6;10;2;36;9;False
2022-07-17;4;11;3;36;9;False
2022-07-24;4;8;2;39;9;False
2022-07-31;3;5;1;36;8;False
2022-08-07;4;6;1;37;8;False
2022-08-14;5;5;1;33;7;False
2022-08-21;5;5;3;32;7;False
2022-08-28;3;7;2;31;7;False
2022-09-04;3;26;55;31;8;False
2022-09-11;4;15;8;31;7;False
2022-09-18;4;17;42;29;6;False
2022-09-25;3;12;100;31;7;False
2022-10-02;5;11;41;22;6;False
2022-10-09;4;9;91;21;6;False
2022-10-16;5;13;26;20;6;False
2022-10-23;4;12;8;20;5;False
2022-10-30;3;7;3;19;5;False
2022-11-06;3;10;5;19;6;False
2022-11-13;3;9;2;19;5;False
2022-11-20;3;7;2;18;6;False
2022-11-27;3;6;1;19;6;False
2022-12-04;3;7;3;18;5;False
2022-12-11;5;5;1;20;5;False
2022-12-18;3;6;1;21;5;False
2022-12-25;4;5;1;23;6;False
2023-01-01;3;6;1;31;7;False
2023-01-08;3;5;1;27;7;False
2023-01-15;6;5;1;28;7;False
2023-01-22;8;5;1;26;6;False
2023-01-29;5;5;0;27;7;False
