date;Walsall;Guardian Masterclasses;Biology;ECB;air travel;isPartial
2022-01-02;36;0;24;2;4;False
2022-01-09;33;0;33;2;5;False
2022-01-16;31;0;31;2;4;False
2022-01-23;36;0;33;2;4;False
2022-01-30;37;0;30;3;5;False
2022-02-06;38;0;42;3;5;False
2022-02-13;37;0;29;2;5;False
2022-02-20;43;0;34;2;5;False
2022-02-27;38;0;38;3;4;False
2022-03-06;36;0;48;3;4;False
2022-03-13;36;0;33;2;4;False
2022-03-20;38;0;39;2;4;False
2022-03-27;37;0;38;2;5;False
2022-04-03;38;0;32;2;4;False
2022-04-10;37;0;30;3;4;False
2022-04-17;39;0;39;2;4;False
2022-04-24;35;0;49;2;4;False
2022-05-01;43;0;56;3;4;False
2022-05-08;34;0;74;3;4;False
2022-05-15;36;0;100;3;5;False
2022-05-22;37;0;36;3;4;False
2022-05-29;42;0;34;3;4;False
2022-06-05;45;0;59;4;5;False
2022-06-12;39;0;79;6;4;False
2022-06-19;39;0;41;4;4;False
2022-06-26;37;0;21;4;4;False
2022-07-03;41;0;15;4;4;False
2022-07-10;43;0;13;4;5;False
2022-07-17;43;0;10;6;4;False
2022-07-24;40;0;10;3;4;False
2022-07-31;41;0;8;3;4;False
2022-08-07;44;0;8;2;4;False
2022-08-14;39;0;13;2;4;False
2022-08-21;44;0;15;3;3;False
2022-08-28;43;0;16;3;4;False
2022-09-04;38;0;26;6;4;False
2022-09-11;39;0;31;3;3;False
2022-09-18;38;0;30;3;3;False
2022-09-25;39;0;32;3;3;False
2022-10-02;39;0;36;2;3;False
2022-10-09;36;0;34;2;3;False
2022-10-16;40;0;28;2;3;False
2022-10-23;39;0;22;3;3;False
2022-10-30;38;0;34;2;3;False
2022-11-06;35;0;39;2;3;False
2022-11-13;37;0;38;2;2;False
2022-11-20;34;0;31;2;3;False
2022-11-27;36;0;36;2;3;False
2022-12-04;35;0;32;2;3;False
2022-12-11;36;0;24;3;3;False
2022-12-18;33;0;16;1;2;False
2022-12-25;41;0;14;1;3;False
2023-01-01;39;0;28;2;4;False
2023-01-08;43;0;38;2;3;False
2023-01-15;40;0;39;2;3;False
2023-01-22;48;0;39;2;3;False
2023-01-29;46;0;38;3;3;False
