date;Edvard Munch;windrush;climatecast;Renewable energy;air travel;isPartial
2022-01-02;4;21;0;33;41;False
2022-01-09;2;24;0;40;45;False
2022-01-16;4;18;0;41;35;False
2022-01-23;3;21;0;45;39;False
2022-01-30;3;17;0;49;44;False
2022-02-06;2;22;0;50;44;False
2022-02-13;2;17;0;35;44;False
2022-02-20;3;17;0;41;45;False
2022-02-27;2;21;0;48;40;False
2022-03-06;3;20;0;60;42;False
2022-03-13;2;22;0;52;41;False
2022-03-20;3;22;0;54;40;False
2022-03-27;2;26;0;49;43;False
2022-04-03;3;18;0;48;39;False
2022-04-10;2;16;0;36;34;False
2022-04-17;2;17;0;38;38;False
2022-04-24;3;22;0;46;39;False
2022-05-01;2;21;0;42;40;False
2022-05-08;4;22;0;43;41;False
2022-05-15;2;23;0;44;43;False
2022-05-22;6;24;0;42;41;False
2022-05-29;5;24;0;30;41;False
2022-06-05;4;29;0;43;46;False
2022-06-12;5;36;0;40;40;False
2022-06-19;5;100;0;36;37;False
2022-06-26;4;31;0;35;40;False
2022-07-03;3;21;0;37;42;False
2022-07-10;2;22;0;36;44;False
2022-07-17;3;18;0;30;42;False
2022-07-24;3;17;0;33;41;False
2022-07-31;3;14;0;34;37;False
2022-08-07;6;18;0;37;36;False
2022-08-14;3;17;0;32;36;False
2022-08-21;3;19;0;42;31;False
2022-08-28;3;17;0;39;34;False
2022-09-04;5;24;0;45;37;False
2022-09-11;3;19;0;40;32;False
2022-09-18;4;24;0;41;30;False
2022-09-25;6;20;0;42;32;False
2022-10-02;4;22;0;45;30;False
2022-10-09;3;28;0;52;29;False
2022-10-16;3;26;0;45;26;False
2022-10-23;3;24;0;41;25;False
2022-10-30;4;28;0;45;24;False
2022-11-06;4;32;0;52;27;False
2022-11-13;1;22;0;44;23;False
2022-11-20;3;17;0;43;29;False
2022-11-27;3;19;0;47;28;False
2022-12-04;3;18;0;47;24;False
2022-12-11;2;15;0;42;25;False
2022-12-18;3;12;0;27;23;False
2022-12-25;3;12;0;20;30;False
2023-01-01;2;24;0;33;35;False
2023-01-08;4;22;0;41;33;False
2023-01-15;5;19;0;46;32;False
2023-01-22;3;30;0;45;29;False
2023-01-29;3;23;0;45;32;False
