date;Toyota;Novak Djokovic;Ireland holidays;Paris Saint-Germain;air travel;isPartial
2023-01-01;84;1;5;3;5;False
2023-01-02;90;2;7;2;6;False
2023-01-03;88;4;7;0;4;False
2023-01-04;89;2;6;0;6;False
2023-01-05;91;4;5;0;5;False
2023-01-06;86;6;3;3;5;False
2023-01-07;85;8;3;0;3;False
2023-01-08;84;13;5;0;5;False
2023-01-09;83;2;4;1;3;False
2023-01-10;87;1;3;0;5;False
2023-01-11;83;1;3;1;6;False
2023-01-12;88;5;3;1;5;False
2023-01-13;83;4;3;0;4;False
2023-01-14;88;3;3;0;4;False
2023-01-15;87;3;3;2;4;False
2023-01-16;94;5;3;1;4;False
2023-01-17;91;17;3;0;4;False
2023-01-18;90;5;2;1;5;False
2023-01-19;88;16;3;4;5;False
2023-01-20;91;7;2;1;4;False
2023-01-21;100;25;3;1;4;False
2023-01-22;94;6;4;0;4;False
2023-01-23;95;17;2;2;5;False
2023-01-24;93;6;3;0;3;False
2023-01-25;90;21;2;0;5;False
2023-01-26;92;12;3;1;4;False
2023-01-27;93;28;2;0;3;False
2023-01-28;88;7;5;0;4;False
2023-01-29;99;64;3;0;4;False
2023-01-30;91;10;5;1;6;False
2023-01-31;92;3;4;0;5;False
