date;Great Barrier Reef;Orchestra of the Age of Enlightenment;labour;hawaii;air travel;isPartial
2022-01-02;1;0;46;21;6;False
2022-01-09;1;0;64;20;7;False
2022-01-16;1;0;55;19;5;False
2022-01-23;1;0;54;21;6;False
2022-01-30;1;0;55;16;6;False
2022-02-06;1;0;60;17;6;False
2022-02-13;1;0;44;16;6;False
2022-02-20;1;0;53;17;7;False
2022-02-27;1;0;48;15;6;False
2022-03-06;1;0;50;17;6;False
2022-03-13;1;0;48;17;6;False
2022-03-20;1;0;47;17;6;False
2022-03-27;1;0;51;17;6;False
2022-04-03;1;0;47;17;6;False
2022-04-10;0;0;50;16;5;False
2022-04-17;1;0;53;17;5;False
2022-04-24;1;0;66;17;6;False
2022-05-01;1;0;100;19;6;False
2022-05-08;1;0;64;18;6;False
2022-05-15;1;0;54;18;6;False
2022-05-22;1;0;48;17;6;False
2022-05-29;1;0;38;17;6;False
2022-06-05;1;0;48;17;7;False
2022-06-12;1;0;46;18;6;False
2022-06-19;1;0;46;17;5;False
2022-06-26;1;0;49;17;6;False
2022-07-03;1;0;62;19;6;False
2022-07-10;1;0;53;21;6;False
2022-07-17;1;0;49;21;6;False
2022-07-24;1;0;53;19;6;False
2022-07-31;2;0;39;19;5;False
2022-08-07;1;0;41;20;5;False
2022-08-14;1;0;37;18;5;False
2022-08-21;1;0;38;18;4;False
2022-08-28;1;0;44;17;5;False
2022-09-04;1;0;62;16;5;False
2022-09-11;1;0;42;17;5;False
2022-09-18;1;0;49;18;4;False
2022-09-25;1;0;91;16;5;False
2022-10-02;1;0;56;18;4;False
2022-10-09;1;0;52;16;4;False
2022-10-16;1;0;76;14;4;False
2022-10-23;1;0;58;16;4;False
2022-10-30;1;0;50;14;4;False
2022-11-06;1;0;53;15;4;False
2022-11-13;1;0;52;14;3;False
2022-11-20;1;0;40;12;4;False
2022-11-27;1;0;41;20;4;False
2022-12-04;1;0;46;16;3;False
2022-12-11;2;0;38;14;4;False
2022-12-18;1;0;31;17;3;False
2022-12-25;1;0;29;21;4;False
2023-01-01;1;0;42;23;5;False
2023-01-08;1;0;46;21;5;False
2023-01-15;1;0;51;20;5;False
2023-01-22;2;0;45;20;4;False
2023-01-29;1;0;48;20;5;False
