date;Amy Poehler;Denver Nuggets;Alec Baldwin;Newspapers;air travel;isPartial
2022-01-02;2;1;15;55;21;False
2022-01-09;3;1;15;55;24;False
2022-01-16;2;1;10;51;18;False
2022-01-23;2;2;10;55;20;False
2022-01-30;2;2;10;56;23;False
2022-02-06;4;2;14;53;23;False
2022-02-13;2;2;15;46;23;False
2022-02-20;3;1;7;53;23;False
2022-02-27;2;1;6;55;20;False
2022-03-06;3;2;8;50;21;False
2022-03-13;2;3;12;50;21;False
2022-03-20;2;2;13;53;21;False
2022-03-27;2;1;25;49;22;False
2022-04-03;2;2;16;45;20;False
2022-04-10;2;2;9;49;17;False
2022-04-17;3;3;12;47;19;False
2022-04-24;3;2;30;46;20;False
2022-05-01;3;1;10;51;21;False
2022-05-08;2;1;7;47;21;False
2022-05-15;2;0;8;49;22;False
2022-05-22;2;1;8;53;21;False
2022-05-29;2;1;9;53;21;False
2022-06-05;2;1;9;55;24;False
2022-06-12;2;1;8;51;21;False
2022-06-19;1;1;6;46;19;False
2022-06-26;1;1;6;48;21;False
2022-07-03;2;1;7;52;22;False
2022-07-10;2;1;7;51;23;False
2022-07-17;3;1;7;52;21;False
2022-07-24;1;1;6;48;21;False
2022-07-31;1;0;6;48;19;False
2022-08-07;2;0;9;50;19;False
2022-08-14;1;1;11;45;18;False
2022-08-21;1;1;8;44;16;False
2022-08-28;1;0;6;49;17;False
2022-09-04;2;0;8;66;19;False
2022-09-11;1;1;5;62;16;False
2022-09-18;1;0;6;76;16;False
2022-09-25;2;0;23;52;16;False
2022-10-02;1;1;20;55;15;False
2022-10-09;1;1;10;49;15;False
2022-10-16;1;1;11;51;14;False
2022-10-23;1;2;11;49;13;False
2022-10-30;1;2;9;49;13;False
2022-11-06;1;2;6;50;14;False
2022-11-13;1;1;5;47;12;False
2022-11-20;1;1;5;44;15;False
2022-11-27;1;1;6;49;14;False
2022-12-04;1;1;8;49;12;False
2022-12-11;2;1;6;52;13;False
2022-12-18;2;1;6;52;12;False
2022-12-25;2;2;7;61;16;False
2023-01-01;1;2;7;60;18;False
2023-01-08;2;2;6;50;17;False
2023-01-15;2;2;100;49;16;False
2023-01-22;2;2;32;48;15;False
2023-01-29;1;2;31;49;16;False
