date;Biodiversity;Folklore and mythology;Population;University of Sheffield;air travel;isPartial
2022-01-02;2;0;55;2;4;False
2022-01-09;2;0;60;2;4;False
2022-01-16;2;0;55;2;3;False
2022-01-23;3;0;55;2;4;False
2022-01-30;2;0;54;2;4;False
2022-02-06;3;0;50;2;4;False
2022-02-13;3;0;52;2;4;False
2022-02-20;2;0;100;2;4;False
2022-02-27;3;0;100;2;4;False
2022-03-06;3;0;78;2;4;False
2022-03-13;3;0;63;2;4;False
2022-03-20;3;0;61;2;4;False
2022-03-27;3;0;51;2;4;False
2022-04-03;2;0;48;2;4;False
2022-04-10;2;0;49;2;3;False
2022-04-17;2;0;50;2;3;False
2022-04-24;3;0;56;2;4;False
2022-05-01;3;0;58;2;4;False
2022-05-08;3;0;55;2;4;False
2022-05-15;3;0;58;2;4;False
2022-05-22;3;0;51;2;4;False
2022-05-29;2;0;47;2;4;False
2022-06-05;3;0;58;2;4;False
2022-06-12;3;0;55;2;4;False
2022-06-19;2;0;51;2;3;False
2022-06-26;2;0;50;2;4;False
2022-07-03;2;0;46;2;4;False
2022-07-10;2;0;52;2;4;False
2022-07-17;1;0;47;2;4;False
2022-07-24;1;0;47;2;4;False
2022-07-31;1;0;53;2;3;False
2022-08-07;1;0;51;2;3;False
2022-08-14;1;0;44;3;3;False
2022-08-21;2;0;45;2;3;False
2022-08-28;1;0;47;2;3;False
2022-09-04;2;0;46;3;3;False
2022-09-11;2;0;58;3;3;False
2022-09-18;2;0;66;4;3;False
2022-09-25;2;0;52;3;3;False
2022-10-02;3;0;52;3;3;False
2022-10-09;2;0;53;3;3;False
2022-10-16;2;0;50;3;2;False
2022-10-23;2;0;49;2;2;False
2022-10-30;2;0;53;3;2;False
2022-11-06;3;0;58;2;2;False
2022-11-13;3;0;74;3;2;False
2022-11-20;2;0;64;2;3;False
2022-11-27;2;0;60;2;3;False
2022-12-04;2;0;57;2;2;False
2022-12-11;2;0;52;2;2;False
2022-12-18;2;0;49;2;2;False
2022-12-25;1;0;44;1;3;False
2023-01-01;2;0;46;2;3;False
2023-01-08;3;0;48;2;3;False
2023-01-15;3;0;52;3;3;False
2023-01-22;3;0;52;3;3;False
2023-01-29;3;0;57;2;3;False
