date;Juggling;homelessness;Science fiction TV;Cultural trips;air travel;isPartial
2022-01-02;12;38;0;0;87;False
2022-01-09;14;43;0;0;100;False
2022-01-16;14;38;0;2;74;False
2022-01-23;11;38;0;0;82;False
2022-01-30;11;40;0;0;93;False
2022-02-06;13;32;0;0;93;False
2022-02-13;10;33;1;0;94;False
2022-02-20;9;41;2;0;95;False
2022-02-27;11;39;1;0;83;False
2022-03-06;12;44;1;0;88;False
2022-03-13;9;37;0;1;87;False
2022-03-20;9;41;1;0;85;False
2022-03-27;13;44;1;1;90;False
2022-04-03;12;36;1;0;82;False
2022-04-10;10;32;3;0;71;False
2022-04-17;7;33;0;0;79;False
2022-04-24;10;38;0;1;82;False
2022-05-01;12;38;0;0;84;False
2022-05-08;13;37;0;0;87;False
2022-05-15;11;35;2;0;90;False
2022-05-22;12;31;1;0;85;False
2022-05-29;13;24;0;0;87;False
2022-06-05;12;37;1;0;97;False
2022-06-12;14;37;0;0;85;False
2022-06-19;13;33;1;0;79;False
2022-06-26;12;33;1;0;85;False
2022-07-03;10;28;0;0;89;False
2022-07-10;12;23;0;0;92;False
2022-07-17;9;30;1;0;88;False
2022-07-24;15;30;2;0;87;False
2022-07-31;10;23;1;1;78;False
2022-08-07;10;29;0;0;76;False
2022-08-14;10;24;3;0;75;False
2022-08-21;12;30;0;0;65;False
2022-08-28;19;26;1;0;72;False
2022-09-04;9;33;0;0;77;False
2022-09-11;10;36;0;2;67;False
2022-09-18;11;35;0;0;66;False
2022-09-25;9;44;2;1;66;False
2022-10-02;8;41;1;0;63;False
2022-10-09;8;42;1;0;62;False
2022-10-16;9;39;2;0;55;False
2022-10-23;10;29;1;1;52;False
2022-10-30;11;40;0;0;51;False
2022-11-06;10;36;0;0;58;False
2022-11-13;11;50;1;0;48;False
2022-11-20;11;37;0;0;60;False
2022-11-27;16;42;2;2;59;False
2022-12-04;10;42;0;0;50;False
2022-12-11;13;42;1;2;52;False
2022-12-18;13;30;0;0;48;False
2022-12-25;7;19;0;0;64;False
2023-01-01;11;32;0;0;74;False
2023-01-08;11;41;0;0;69;False
2023-01-15;12;45;3;0;67;False
2023-01-22;11;34;0;0;62;False
2023-01-29;10;43;2;0;67;False
