date;US income inequality;Breast cancer;TUC;Race;air travel;isPartial
2022-01-02;0;7;0;47;2;False
2022-01-09;0;8;1;48;3;False
2022-01-16;0;7;1;41;2;False
2022-01-23;0;8;1;44;2;False
2022-01-30;0;8;1;52;3;False
2022-02-06;0;8;1;45;3;False
2022-02-13;0;7;1;43;3;False
2022-02-20;0;7;1;51;3;False
2022-02-27;0;7;1;43;2;False
2022-03-06;0;8;1;50;2;False
2022-03-13;0;7;1;77;2;False
2022-03-20;0;7;1;66;2;False
2022-03-27;0;7;0;63;2;False
2022-04-03;0;7;1;100;2;False
2022-04-10;0;8;1;57;2;False
2022-04-17;0;7;0;61;2;False
2022-04-24;0;8;1;54;2;False
2022-05-01;0;8;1;55;2;False
2022-05-08;0;8;1;56;2;False
2022-05-15;0;7;1;53;2;False
2022-05-22;0;7;1;55;2;False
2022-05-29;0;6;0;63;2;False
2022-06-05;0;8;1;63;3;False
2022-06-12;0;7;2;69;2;False
2022-06-19;0;7;1;56;2;False
2022-06-26;0;7;1;61;2;False
2022-07-03;0;7;1;71;2;False
2022-07-10;0;7;1;66;2;False
2022-07-17;0;6;1;62;2;False
2022-07-24;0;7;1;61;2;False
2022-07-31;0;7;1;59;2;False
2022-08-07;0;9;1;53;2;False
2022-08-14;0;7;1;50;2;False
2022-08-21;0;7;1;49;2;False
2022-08-28;0;8;1;56;2;False
2022-09-04;0;7;1;59;2;False
2022-09-11;0;7;1;48;2;False
2022-09-18;0;7;1;52;2;False
2022-09-25;0;9;1;44;2;False
2022-10-02;0;10;1;52;2;False
2022-10-09;0;8;1;47;2;False
2022-10-16;0;9;1;47;1;False
2022-10-23;0;9;1;51;1;False
2022-10-30;0;7;1;42;1;False
2022-11-06;0;8;1;60;2;False
2022-11-13;0;8;1;47;1;False
2022-11-20;0;7;1;38;2;False
2022-11-27;0;7;1;34;2;False
2022-12-04;0;7;1;33;1;False
2022-12-11;0;6;1;37;1;False
2022-12-18;0;6;1;35;1;False
2022-12-25;0;6;1;44;2;False
2023-01-01;0;7;1;43;2;False
2023-01-08;0;8;1;41;2;False
2023-01-15;0;8;1;46;2;False
2023-01-22;0;8;1;42;2;False
2023-01-29;0;8;1;43;2;False
