date;Wilco;International trade;The Times;Annual results;air travel;isPartial
2022-01-02;3;1;82;0;5;False
2022-01-09;4;2;72;0;6;False
2022-01-16;3;2;71;0;5;False
2022-01-23;3;2;68;0;5;False
2022-01-30;3;2;77;0;6;False
2022-02-06;3;1;72;0;6;False
2022-02-13;3;2;65;0;6;False
2022-02-20;3;2;74;1;6;False
2022-02-27;3;1;77;0;5;False
2022-03-06;3;2;72;0;6;False
2022-03-13;3;2;80;0;5;False
2022-03-20;4;1;90;0;5;False
2022-03-27;3;2;72;0;6;False
2022-04-03;3;1;79;0;5;False
2022-04-10;4;1;80;0;4;False
2022-04-17;4;2;86;0;5;False
2022-04-24;4;2;71;0;5;False
2022-05-01;4;2;84;0;5;False
2022-05-08;4;2;74;0;5;False
2022-05-15;4;2;80;0;6;False
2022-05-22;4;2;81;0;5;False
2022-05-29;4;1;99;0;5;False
2022-06-05;4;2;76;0;6;False
2022-06-12;4;1;78;0;5;False
2022-06-19;4;1;76;0;5;False
2022-06-26;4;1;75;0;5;False
2022-07-03;4;1;73;0;6;False
2022-07-10;5;1;94;0;6;False
2022-07-17;4;1;72;0;6;False
2022-07-24;5;1;68;0;5;False
2022-07-31;5;1;79;0;5;False
2022-08-07;5;1;78;0;5;False
2022-08-14;4;1;68;0;5;False
2022-08-21;4;1;70;0;4;False
2022-08-28;5;1;71;0;4;False
2022-09-04;5;2;83;0;5;False
2022-09-11;5;2;89;0;4;False
2022-09-18;5;1;89;0;4;False
2022-09-25;4;1;75;0;4;False
2022-10-02;5;1;77;0;4;False
2022-10-09;4;2;75;0;4;False
2022-10-16;4;1;76;0;3;False
2022-10-23;5;1;77;0;3;False
2022-10-30;4;2;73;0;3;False
2022-11-06;4;2;79;0;4;False
2022-11-13;5;2;75;0;3;False
2022-11-20;7;1;75;0;4;False
2022-11-27;5;2;78;0;4;False
2022-12-04;4;1;81;0;3;False
2022-12-11;4;1;82;0;3;False
2022-12-18;4;1;100;0;3;False
2022-12-25;4;0;98;0;4;False
2023-01-01;4;1;82;0;5;False
2023-01-08;4;1;72;0;4;False
2023-01-15;3;1;70;0;4;False
2023-01-22;4;1;79;0;4;False
2023-01-29;3;2;73;0;4;False
