date;Fuel poverty;Joe Wicks;Daniel Andrews;Women's World Cup;air travel;isPartial
2023-01-01;0;56;0;6;44;False
2023-01-02;0;81;7;17;52;False
2023-01-03;3;78;3;24;33;False
2023-01-04;3;79;0;3;51;False
2023-01-05;9;73;5;12;42;False
2023-01-06;0;57;16;13;42;False
2023-01-07;6;69;0;12;30;False
2023-01-08;0;100;0;18;48;False
2023-01-09;4;90;0;15;28;False
2023-01-10;0;72;6;4;45;False
2023-01-11;0;72;0;14;51;False
2023-01-12;9;76;0;11;43;False
2023-01-13;0;41;4;9;34;False
2023-01-14;4;51;0;9;32;False
2023-01-15;0;50;7;14;38;False
2023-01-16;3;81;0;6;39;False
2023-01-17;0;67;0;11;32;False
2023-01-18;12;60;0;11;46;False
2023-01-19;0;46;0;17;42;False
2023-01-20;7;40;0;11;34;False
2023-01-21;0;59;0;6;36;False
2023-01-22;0;60;0;9;40;False
2023-01-23;0;49;0;11;41;False
2023-01-24;8;53;0;8;31;False
2023-01-25;5;46;0;16;43;False
2023-01-26;3;53;0;15;39;False
2023-01-27;0;47;0;21;27;False
2023-01-28;0;53;0;0;38;False
2023-01-29;4;60;3;24;34;False
2023-01-30;6;64;0;10;57;False
2023-01-31;4;44;0;10;48;False
