date;Daniel Barenboim;Health and fitness holidays;South Africa cricket team;Johan Cruyff;air travel;isPartial
2022-01-02;13;0;4;7;90;False
2022-01-09;1;0;3;5;98;False
2022-01-16;2;0;2;7;77;False
2022-01-23;2;0;2;11;84;False
2022-01-30;0;0;0;3;95;False
2022-02-06;2;0;2;5;96;False
2022-02-13;0;0;0;7;96;False
2022-02-20;0;0;0;10;98;False
2022-02-27;1;0;2;7;86;False
2022-03-06;1;0;1;10;90;False
2022-03-13;0;0;3;7;90;False
2022-03-20;0;0;0;13;88;False
2022-03-27;1;0;2;10;93;False
2022-04-03;1;0;0;7;85;False
2022-04-10;1;0;0;9;74;False
2022-04-17;1;0;0;9;82;False
2022-04-24;3;0;0;12;84;False
2022-05-01;1;0;1;11;87;False
2022-05-08;1;0;1;9;89;False
2022-05-15;2;0;2;6;93;False
2022-05-22;1;0;1;12;88;False
2022-05-29;0;0;1;12;90;False
2022-06-05;0;0;2;8;100;False
2022-06-12;0;0;2;11;87;False
2022-06-19;2;0;1;8;81;False
2022-06-26;0;0;2;3;87;False
2022-07-03;1;0;3;9;92;False
2022-07-10;0;0;2;8;95;False
2022-07-17;0;0;6;7;91;False
2022-07-24;0;0;4;8;90;False
2022-07-31;3;0;8;13;81;False
2022-08-07;0;0;2;8;78;False
2022-08-14;2;0;7;8;77;False
2022-08-21;2;0;6;15;67;False
2022-08-28;3;0;1;11;74;False
2022-09-04;1;0;5;9;80;False
2022-09-11;0;0;4;20;69;False
2022-09-18;2;0;7;11;66;False
2022-09-25;1;0;4;7;68;False
2022-10-02;35;0;2;9;65;False
2022-10-09;2;0;1;8;63;False
2022-10-16;2;0;0;6;57;False
2022-10-23;1;0;2;18;53;False
2022-10-30;0;0;4;8;53;False
2022-11-06;1;0;4;8;59;False
2022-11-13;5;0;2;7;50;False
2022-11-20;2;0;1;14;62;False
2022-11-27;2;0;0;41;61;False
2022-12-04;0;0;3;26;52;False
2022-12-11;1;0;1;13;53;False
2022-12-18;2;0;1;18;50;False
2022-12-25;0;0;1;26;66;False
2023-01-01;4;0;1;12;77;False
2023-01-08;2;0;0;13;71;False
2023-01-15;2;0;2;8;69;False
2023-01-22;0;0;4;9;64;False
2023-01-29;0;0;3;7;69;False
