date;Press releases;E coli;Property;united kingdom;air travel;isPartial
2022-01-02;0;1;85;6;1;False
2022-01-09;0;1;91;6;1;False
2022-01-16;0;1;93;6;1;False
2022-01-23;0;1;90;6;1;False
2022-01-30;0;1;100;6;1;False
2022-02-06;0;1;90;6;1;False
2022-02-13;0;1;86;6;1;False
2022-02-20;0;1;85;7;1;False
2022-02-27;0;1;91;6;1;False
2022-03-06;0;1;84;6;1;False
2022-03-13;0;1;85;6;1;False
2022-03-20;0;1;86;6;1;False
2022-03-27;0;1;90;6;1;False
2022-04-03;0;1;81;6;1;False
2022-04-10;0;1;79;6;1;False
2022-04-17;0;1;84;5;1;False
2022-04-24;0;1;81;6;1;False
2022-05-01;0;1;86;6;1;False
2022-05-08;0;1;85;7;1;False
2022-05-15;0;1;86;6;1;False
2022-05-22;0;1;78;6;1;False
2022-05-29;0;1;74;6;1;False
2022-06-05;0;1;84;6;2;False
2022-06-12;0;1;83;6;1;False
2022-06-19;0;1;83;6;1;False
2022-06-26;0;1;87;6;1;False
2022-07-03;0;1;77;6;1;False
2022-07-10;0;0;83;6;1;False
2022-07-17;0;1;83;6;1;False
2022-07-24;0;1;84;6;1;False
2022-07-31;0;1;83;6;1;False
2022-08-07;0;1;83;6;1;False
2022-08-14;0;1;81;6;1;False
2022-08-21;0;1;87;6;1;False
2022-08-28;0;1;79;6;1;False
2022-09-04;0;1;81;8;1;False
2022-09-11;0;1;82;8;1;False
2022-09-18;0;1;77;7;1;False
2022-09-25;0;1;79;7;1;False
2022-10-02;0;1;79;7;1;False
2022-10-09;0;1;75;7;1;False
2022-10-16;0;1;74;7;1;False
2022-10-23;0;1;79;7;1;False
2022-10-30;0;1;66;7;1;False
2022-11-06;0;1;74;7;1;False
2022-11-13;0;1;71;6;1;False
2022-11-20;0;1;60;6;1;False
2022-11-27;0;1;63;6;1;False
2022-12-04;0;1;59;6;1;False
2022-12-11;0;1;57;6;1;False
2022-12-18;0;1;58;6;1;False
2022-12-25;0;0;55;5;1;False
2023-01-01;0;1;85;6;1;False
2023-01-08;0;1;81;6;1;False
2023-01-15;0;1;79;6;1;False
2023-01-22;0;1;82;6;1;False
2023-01-29;0;1;86;6;1;False
