date;Neil Jordan;Endometriosis;Pensions;david carrick;air travel;isPartial
2022-01-02;0;40;68;0;20;False
2022-01-09;0;43;83;8;23;False
2022-01-16;0;41;82;0;17;False
2022-01-23;1;53;82;0;19;False
2022-01-30;0;52;93;0;22;False
2022-02-06;1;49;85;0;21;False
2022-02-13;0;43;83;1;22;False
2022-02-20;0;44;80;1;22;False
2022-02-27;1;52;70;0;19;False
2022-03-06;1;54;69;1;20;False
2022-03-13;0;52;68;4;20;False
2022-03-20;1;58;77;1;20;False
2022-03-27;1;64;75;0;21;False
2022-04-03;0;51;71;0;19;False
2022-04-10;0;43;63;0;16;False
2022-04-17;0;42;59;0;18;False
2022-04-24;0;43;68;0;19;False
2022-05-01;0;43;66;0;19;False
2022-05-08;1;43;69;2;20;False
2022-05-15;0;50;74;0;21;False
2022-05-22;0;49;71;1;20;False
2022-05-29;0;36;57;0;20;False
2022-06-05;1;44;68;0;22;False
2022-06-12;1;38;71;0;20;False
2022-06-19;1;36;79;0;18;False
2022-06-26;0;38;69;0;20;False
2022-07-03;1;38;68;0;21;False
2022-07-10;1;38;73;0;21;False
2022-07-17;0;38;69;0;20;False
2022-07-24;0;39;73;0;20;False
2022-07-31;0;40;71;0;18;False
2022-08-07;0;49;65;0;18;False
2022-08-14;1;41;67;0;17;False
2022-08-21;1;35;71;1;15;False
2022-08-28;0;37;77;0;17;False
2022-09-04;1;36;69;0;18;False
2022-09-11;0;45;73;0;16;False
2022-09-18;1;53;75;0;15;False
2022-09-25;1;51;92;0;15;False
2022-10-02;0;46;80;0;15;False
2022-10-09;1;54;88;0;14;False
2022-10-16;0;46;100;0;13;False
2022-10-23;0;42;84;0;12;False
2022-10-30;1;45;87;0;12;False
2022-11-06;1;45;79;0;13;False
2022-11-13;0;44;89;0;11;False
2022-11-20;0;38;66;3;14;False
2022-11-27;1;37;64;1;14;False
2022-12-04;0;35;58;0;12;False
2022-12-11;1;34;60;0;12;False
2022-12-18;0;36;61;0;11;False
2022-12-25;0;49;39;0;15;False
2023-01-01;1;37;73;1;17;False
2023-01-08;1;44;76;1;16;False
2023-01-15;1;44;79;62;16;False
2023-01-22;0;43;84;6;14;False
2023-01-29;0;47;89;2;15;False
