date;Saturn;Miranda Lambert;Bollywood;Noel Edmonds;air travel;isPartial
2022-01-02;41;3;68;4;29;False
2022-01-09;50;2;67;5;32;False
2022-01-16;47;2;64;4;25;False
2022-01-23;49;1;60;5;28;False
2022-01-30;50;2;61;5;31;False
2022-02-06;43;1;69;4;31;False
2022-02-13;40;1;65;4;31;False
2022-02-20;41;1;73;7;32;False
2022-02-27;39;1;64;6;28;False
2022-03-06;40;7;62;4;30;False
2022-03-13;37;5;63;4;29;False
2022-03-20;41;2;69;4;29;False
2022-03-27;42;1;58;4;30;False
2022-04-03;40;2;55;4;28;False
2022-04-10;39;1;59;5;24;False
2022-04-17;38;1;60;4;27;False
2022-04-24;40;2;56;4;28;False
2022-05-01;40;3;67;3;28;False
2022-05-08;36;1;60;4;29;False
2022-05-15;40;6;65;4;30;False
2022-05-22;38;2;64;2;29;False
2022-05-29;38;2;78;3;29;False
2022-06-05;45;2;69;4;33;False
2022-06-12;44;2;65;5;29;False
2022-06-19;42;1;65;5;27;False
2022-06-26;39;1;68;5;29;False
2022-07-03;40;1;62;5;30;False
2022-07-10;40;2;67;3;31;False
2022-07-17;37;1;66;5;30;False
2022-07-24;35;2;79;4;29;False
2022-07-31;38;2;71;6;27;False
2022-08-07;46;1;75;6;26;False
2022-08-14;45;1;65;7;25;False
2022-08-21;42;1;68;100;22;False
2022-08-28;46;2;78;44;24;False
2022-09-04;42;0;82;6;26;False
2022-09-11;47;1;72;8;23;False
2022-09-18;47;0;69;5;22;False
2022-09-25;70;2;62;5;22;False
2022-10-02;46;1;63;5;21;False
2022-10-09;46;2;67;5;21;False
2022-10-16;41;2;63;6;19;False
2022-10-23;40;1;69;7;17;False
2022-10-30;41;0;64;6;17;False
2022-11-06;42;2;71;8;19;False
2022-11-13;53;1;67;6;16;False
2022-11-20;41;1;58;5;20;False
2022-11-27;41;1;61;5;20;False
2022-12-04;39;1;62;69;17;False
2022-12-11;43;1;63;8;17;False
2022-12-18;36;1;72;11;16;False
2022-12-25;48;2;89;10;21;False
2023-01-01;42;1;69;5;25;False
2023-01-08;47;1;64;6;23;False
2023-01-15;48;1;66;10;23;False
2023-01-22;49;1;71;8;21;False
2023-01-29;45;1;79;6;22;False
