date;Spirits;BBC licence fee;Newtown shooting;Greenham Common;air travel;isPartial
2022-01-02;71;3;1;1;40;False
2022-01-09;69;2;0;1;46;False
2022-01-16;72;51;0;1;34;False
2022-01-23;67;4;0;4;38;False
2022-01-30;68;3;0;1;43;False
2022-02-06;57;1;0;2;43;False
2022-02-13;63;1;0;1;43;False
2022-02-20;69;1;0;2;44;False
2022-02-27;78;1;0;4;39;False
2022-03-06;70;1;1;2;40;False
2022-03-13;77;1;1;3;40;False
2022-03-20;70;1;1;2;39;False
2022-03-27;65;1;0;2;42;False
2022-04-03;70;1;0;2;39;False
2022-04-10;68;1;0;3;33;False
2022-04-17;61;1;0;2;36;False
2022-04-24;60;64;0;2;38;False
2022-05-01;65;6;0;3;39;False
2022-05-08;68;3;0;1;40;False
2022-05-15;68;1;0;1;42;False
2022-05-22;64;2;1;2;39;False
2022-05-29;66;1;0;1;40;False
2022-06-05;71;2;0;1;45;False
2022-06-12;68;1;1;2;40;False
2022-06-19;59;1;1;2;36;False
2022-06-26;61;1;0;2;39;False
2022-07-03;59;1;0;1;41;False
2022-07-10;61;3;1;2;43;False
2022-07-17;60;3;0;2;41;False
2022-07-24;67;2;0;2;40;False
2022-07-31;64;2;0;2;36;False
2022-08-07;62;1;0;1;35;False
2022-08-14;60;1;1;2;34;False
2022-08-21;68;2;0;2;30;False
2022-08-28;64;1;0;1;33;False
2022-09-04;61;2;0;2;36;False
2022-09-11;60;2;0;1;31;False
2022-09-18;57;9;0;1;30;False
2022-09-25;64;2;0;2;31;False
2022-10-02;64;1;0;1;29;False
2022-10-09;68;1;0;1;29;False
2022-10-16;82;4;0;2;26;False
2022-10-23;92;1;1;4;24;False
2022-10-30;68;1;0;2;24;False
2022-11-06;72;1;0;1;27;False
2022-11-13;67;1;0;1;22;False
2022-11-20;67;1;0;1;28;False
2022-11-27;74;1;0;2;27;False
2022-12-04;72;1;1;2;23;False
2022-12-11;100;1;0;1;24;False
2022-12-18;81;1;1;1;22;False
2022-12-25;71;1;0;2;30;False
2023-01-01;59;2;1;0;34;False
2023-01-08;64;2;0;3;32;False
2023-01-15;60;1;1;1;31;False
2023-01-22;67;1;0;2;28;False
2023-01-29;70;1;0;3;31;False
