date;inflation;Katy Gallagher (Australian politician);Tinder;nepal;air travel;isPartial
2022-01-02;14;0;22;8;4;False
2022-01-09;18;0;21;7;5;False
2022-01-16;21;0;20;7;3;False
2022-01-23;18;0;21;8;4;False
2022-01-30;20;0;59;8;4;False
2022-02-06;18;0;100;7;4;False
2022-02-13;17;0;62;8;4;False
2022-02-20;16;0;47;8;4;False
2022-02-27;17;0;28;9;4;False
2022-03-06;19;0;28;8;4;False
2022-03-13;20;0;24;8;4;False
2022-03-20;22;0;23;9;4;False
2022-03-27;19;0;25;8;4;False
2022-04-03;16;0;24;8;4;False
2022-04-10;19;0;26;8;3;False
2022-04-17;14;0;23;7;4;False
2022-04-24;16;0;24;8;4;False
2022-05-01;22;0;26;8;4;False
2022-05-08;21;0;23;9;4;False
2022-05-15;35;0;23;10;4;False
2022-05-22;17;0;23;9;4;False
2022-05-29;16;0;24;14;4;False
2022-06-05;21;0;28;8;4;False
2022-06-12;24;0;25;9;4;False
2022-06-19;30;0;23;7;4;False
2022-06-26;17;0;22;7;4;False
2022-07-03;17;0;23;7;4;False
2022-07-10;20;0;23;8;4;False
2022-07-17;21;0;24;7;4;False
2022-07-24;17;0;37;7;4;False
2022-07-31;26;0;26;7;4;False
2022-08-07;20;0;25;7;4;False
2022-08-14;27;0;28;6;3;False
2022-08-21;28;0;24;7;3;False
2022-08-28;20;0;24;8;3;False
2022-09-04;17;0;23;8;4;False
2022-09-11;20;0;24;8;3;False
2022-09-18;18;0;25;9;3;False
2022-09-25;24;0;22;9;3;False
2022-10-02;20;0;22;10;3;False
2022-10-09;22;0;21;10;3;False
2022-10-16;28;0;22;10;3;False
2022-10-23;17;0;22;8;2;False
2022-10-30;20;0;22;9;2;False
2022-11-06;20;0;22;10;3;False
2022-11-13;32;0;23;9;2;False
2022-11-20;15;0;20;11;3;False
2022-11-27;16;0;20;9;3;False
2022-12-04;15;0;20;9;2;False
2022-12-11;20;0;19;8;2;False
2022-12-18;16;0;21;9;2;False
2022-12-25;11;0;22;10;3;False
2023-01-01;17;0;22;9;3;False
2023-01-08;19;0;21;8;3;False
2023-01-15;22;0;23;43;3;False
2023-01-22;17;0;22;10;3;False
2023-01-29;21;0;22;9;3;False
