date;Deafness and hearing loss;Air transport;hong kong;US crime;air travel;isPartial
2023-01-01;0;0;100;0;11;False
2023-01-02;2;1;84;1;13;False
2023-01-03;0;0;81;1;8;False
2023-01-04;0;2;82;2;13;False
2023-01-05;0;5;71;0;10;False
2023-01-06;0;1;81;3;11;False
2023-01-07;0;0;71;2;8;False
2023-01-08;0;2;81;2;12;False
2023-01-09;0;1;77;0;7;False
2023-01-10;0;1;78;2;11;False
2023-01-11;1;0;73;2;13;False
2023-01-12;0;1;89;4;11;False
2023-01-13;0;1;81;2;9;False
2023-01-14;0;2;79;1;8;False
2023-01-15;2;1;67;1;10;False
2023-01-16;0;1;83;2;10;False
2023-01-17;0;1;83;1;8;False
2023-01-18;0;2;82;1;11;False
2023-01-19;1;1;81;0;10;False
2023-01-20;0;1;82;2;8;False
2023-01-21;0;0;82;0;9;False
2023-01-22;0;0;76;2;10;False
2023-01-23;0;0;70;2;10;False
2023-01-24;0;2;77;3;8;False
2023-01-25;1;3;75;2;11;False
2023-01-26;0;1;74;1;10;False
2023-01-27;1;2;86;1;7;False
2023-01-28;0;0;75;1;9;False
2023-01-29;0;1;78;2;9;False
2023-01-30;0;2;77;0;14;False
2023-01-31;0;1;81;2;12;False
