date;Australian Broadcasting Corporation;live;berkshire;india;air travel;isPartial
2022-01-02;0;75;0;18;0;False
2022-01-09;0;70;0;16;1;False
2022-01-16;0;65;0;15;0;False
2022-01-23;0;64;0;17;0;False
2022-01-30;0;76;0;16;1;False
2022-02-06;0;73;0;17;1;False
2022-02-13;0;87;0;17;1;False
2022-02-20;0;100;0;21;1;False
2022-02-27;0;88;0;18;0;False
2022-03-06;0;85;0;19;0;False
2022-03-13;0;84;0;18;0;False
2022-03-20;0;77;0;16;0;False
2022-03-27;0;72;0;16;1;False
2022-04-03;0;77;2;15;0;False
2022-04-10;0;76;1;15;0;False
2022-04-17;0;75;1;14;0;False
2022-04-24;0;78;2;15;0;False
2022-05-01;0;89;2;16;0;False
2022-05-08;0;78;2;15;0;False
2022-05-15;0;82;2;17;1;False
2022-05-22;0;81;2;14;0;False
2022-05-29;0;82;2;15;0;False
2022-06-05;0;80;2;17;1;False
2022-06-12;0;75;2;19;0;False
2022-06-19;0;73;2;17;0;False
2022-06-26;0;76;2;23;0;False
2022-07-03;0;81;2;31;0;False
2022-07-10;0;78;2;27;1;False
2022-07-17;0;81;2;22;0;False
2022-07-24;0;79;2;21;0;False
2022-07-31;0;82;2;21;0;False
2022-08-07;0;74;2;18;0;False
2022-08-14;0;79;2;16;0;False
2022-08-21;0;82;2;16;0;False
2022-08-28;0;88;2;24;0;False
2022-09-04;0;92;2;26;0;False
2022-09-11;0;92;2;18;0;False
2022-09-18;0;81;2;22;0;False
2022-09-25;0;74;2;21;0;False
2022-10-02;0;77;2;23;0;False
2022-10-09;0;80;2;19;0;False
2022-10-16;0;87;2;18;0;False
2022-10-23;0;80;2;24;0;False
2022-10-30;0;75;2;24;0;False
2022-11-06;0;84;2;27;0;False
2022-11-13;0;75;2;19;0;False
2022-11-20;0;99;1;19;0;False
2022-11-27;0;89;1;19;0;False
2022-12-04;0;88;1;21;0;False
2022-12-11;0;79;1;20;0;False
2022-12-18;0;78;1;19;0;False
2022-12-25;0;77;1;19;0;False
2023-01-01;0;77;2;21;0;False
2023-01-08;0;80;2;21;0;False
2023-01-15;0;79;2;23;0;False
2023-01-22;0;73;2;22;0;False
2023-01-29;0;78;2;21;0;False
