date;News agencies;parking;LeBron James;Australian universities;air travel;isPartial
2022-01-02;0;58;1;0;2;False
2022-01-09;0;61;1;0;2;False
2022-01-16;0;58;1;0;1;False
2022-01-23;0;65;1;0;1;False
2022-01-30;0;72;1;0;2;False
2022-02-06;0;72;2;0;2;False
2022-02-13;0;72;2;0;2;False
2022-02-20;0;77;2;0;2;False
2022-02-27;0;73;1;0;1;False
2022-03-06;0;76;2;0;2;False
2022-03-13;0;77;2;0;2;False
2022-03-20;0;79;2;0;1;False
2022-03-27;0;78;1;0;2;False
2022-04-03;0;82;1;0;1;False
2022-04-10;0;85;1;0;1;False
2022-04-17;0;85;1;0;1;False
2022-04-24;0;76;1;0;1;False
2022-05-01;0;91;1;0;1;False
2022-05-08;0;86;1;0;2;False
2022-05-15;0;86;1;0;2;False
2022-05-22;0;88;1;0;1;False
2022-05-29;0;95;1;0;2;False
2022-06-05;0;91;2;0;2;False
2022-06-12;0;93;2;0;2;False
2022-06-19;0;100;1;0;1;False
2022-06-26;0;84;1;0;1;False
2022-07-03;0;88;1;0;2;False
2022-07-10;0;92;1;0;2;False
2022-07-17;0;84;1;0;2;False
2022-07-24;0;98;1;0;2;False
2022-07-31;0;94;1;0;1;False
2022-08-07;0;98;1;0;1;False
2022-08-14;0;98;1;0;1;False
2022-08-21;0;97;1;0;1;False
2022-08-28;0;95;1;0;1;False
2022-09-04;0;82;1;0;1;False
2022-09-11;0;91;1;0;1;False
2022-09-18;0;85;1;0;1;False
2022-09-25;0;82;1;0;1;False
2022-10-02;0;82;1;0;1;False
2022-10-09;0;78;1;0;1;False
2022-10-16;0;77;1;0;1;False
2022-10-23;0;81;1;0;1;False
2022-10-30;0;69;1;0;1;False
2022-11-06;0;73;1;0;1;False
2022-11-13;0;71;1;0;1;False
2022-11-20;0;66;1;0;1;False
2022-11-27;0;67;1;0;1;False
2022-12-04;0;66;1;0;1;False
2022-12-11;0;72;1;0;1;False
2022-12-18;0;68;1;0;1;False
2022-12-25;0;81;2;0;1;False
2023-01-01;0;77;1;0;1;False
2023-01-08;0;70;1;0;1;False
2023-01-15;0;70;2;0;1;False
2023-01-22;0;74;2;0;1;False
2023-01-29;0;78;2;0;1;False
