date;Prague holidays;Law (US);taiwan;Dubai;air travel;isPartial
2022-01-02;0;1;4;100;3;False
2022-01-09;0;1;4;96;3;False
2022-01-16;0;1;4;91;3;False
2022-01-23;0;1;5;87;3;False
2022-01-30;0;1;5;84;3;False
2022-02-06;0;1;4;77;3;False
2022-02-13;0;1;5;77;3;False
2022-02-20;0;1;19;89;3;False
2022-02-27;0;1;11;69;3;False
2022-03-06;0;1;7;71;3;False
2022-03-13;0;1;7;68;3;False
2022-03-20;0;1;5;72;3;False
2022-03-27;0;1;4;66;3;False
2022-04-03;0;1;4;61;3;False
2022-04-10;0;1;5;62;3;False
2022-04-17;0;1;4;55;3;False
2022-04-24;0;1;4;78;3;False
2022-05-01;0;1;5;89;3;False
2022-05-08;0;1;5;62;3;False
2022-05-15;0;1;5;54;3;False
2022-05-22;0;1;7;56;3;False
2022-05-29;0;1;4;54;3;False
2022-06-05;0;1;5;55;3;False
2022-06-12;0;1;5;51;3;False
2022-06-19;0;2;4;51;3;False
2022-06-26;0;2;4;50;3;False
2022-07-03;0;1;5;49;3;False
2022-07-10;0;1;4;52;3;False
2022-07-17;0;1;5;56;3;False
2022-07-24;0;1;8;52;3;False
2022-07-31;0;1;59;53;3;False
2022-08-07;0;1;16;58;3;False
2022-08-14;0;1;8;52;3;False
2022-08-21;1;1;6;52;2;False
2022-08-28;0;1;8;54;3;False
2022-09-04;1;1;6;53;3;False
2022-09-11;0;1;5;55;2;False
2022-09-18;1;1;8;59;2;False
2022-09-25;0;1;5;50;2;False
2022-10-02;1;1;5;54;2;False
2022-10-09;0;1;5;57;2;False
2022-10-16;1;1;5;57;2;False
2022-10-23;0;1;5;58;2;False
2022-10-30;0;1;5;73;2;False
2022-11-06;0;1;5;69;2;False
2022-11-13;0;1;5;65;2;False
2022-11-20;0;1;4;63;2;False
2022-11-27;0;1;5;54;2;False
2022-12-04;0;1;4;48;2;False
2022-12-11;0;1;4;55;2;False
2022-12-18;0;1;4;52;2;False
2022-12-25;1;1;5;65;2;False
2023-01-01;1;1;5;73;3;False
2023-01-08;1;1;4;68;2;False
2023-01-15;1;1;5;70;2;False
2023-01-22;1;1;4;83;2;False
2023-01-29;0;1;5;79;2;False
