date;Advertising;Chris Minns;Trinidad and Tobago;Bucharest holidays;air travel;isPartial
2022-01-02;75;0;7;1;33;False
2022-01-09;86;0;8;0;36;False
2022-01-16;91;0;7;0;28;False
2022-01-23;92;0;9;1;31;False
2022-01-30;87;0;8;1;35;False
2022-02-06;87;0;7;0;35;False
2022-02-13;82;0;7;0;35;False
2022-02-20;85;0;8;1;36;False
2022-02-27;87;0;8;0;31;False
2022-03-06;91;0;8;0;33;False
2022-03-13;87;0;8;0;33;False
2022-03-20;90;0;7;0;32;False
2022-03-27;91;0;9;0;34;False
2022-04-03;84;0;8;0;31;False
2022-04-10;75;0;8;1;27;False
2022-04-17;85;0;7;0;30;False
2022-04-24;90;1;7;0;31;False
2022-05-01;95;0;9;1;32;False
2022-05-08;97;0;8;0;33;False
2022-05-15;99;0;10;0;34;False
2022-05-22;88;0;7;1;32;False
2022-05-29;62;0;6;0;33;False
2022-06-05;84;0;7;0;37;False
2022-06-12;81;0;6;1;32;False
2022-06-19;76;0;11;0;30;False
2022-06-26;80;0;9;0;32;False
2022-07-03;74;0;7;0;34;False
2022-07-10;83;0;9;0;35;False
2022-07-17;74;0;7;0;33;False
2022-07-24;77;0;12;0;33;False
2022-07-31;76;0;11;0;30;False
2022-08-07;72;0;10;1;29;False
2022-08-14;69;0;7;0;28;False
2022-08-21;78;0;6;0;25;False
2022-08-28;71;0;8;1;27;False
2022-09-04;78;0;8;1;29;False
2022-09-11;84;0;9;0;25;False
2022-09-18;93;0;8;1;24;False
2022-09-25;84;0;10;0;25;False
2022-10-02;87;1;9;0;24;False
2022-10-09;90;0;8;1;23;False
2022-10-16;83;0;9;0;21;False
2022-10-23;79;0;6;0;19;False
2022-10-30;88;0;8;0;19;False
2022-11-06;98;0;9;1;22;False
2022-11-13;93;0;9;1;18;False
2022-11-20;86;0;9;0;23;False
2022-11-27;92;0;8;1;22;False
2022-12-04;86;0;8;0;19;False
2022-12-11;86;0;8;1;19;False
2022-12-18;61;0;7;1;18;False
2022-12-25;41;0;8;1;24;False
2023-01-01;78;0;7;1;28;False
2023-01-08;93;0;8;0;26;False
2023-01-15;92;1;8;1;25;False
2023-01-22;96;0;9;0;23;False
2023-01-29;100;0;8;0;25;False
