date;Public Image Ltd;Graduate careers;HMRC;australian open;air travel;isPartial
2022-01-02;0;1;55;7;2;False
2022-01-09;0;1;59;13;2;False
2022-01-16;0;0;67;81;2;False
2022-01-23;0;0;86;91;2;False
2022-01-30;0;0;81;45;2;False
2022-02-06;0;0;53;1;2;False
2022-02-13;0;0;45;1;2;False
2022-02-20;0;0;49;1;2;False
2022-02-27;0;0;52;1;2;False
2022-03-06;0;0;45;0;2;False
2022-03-13;0;0;48;0;2;False
2022-03-20;0;0;50;1;2;False
2022-03-27;0;0;47;0;2;False
2022-04-03;0;0;61;0;2;False
2022-04-10;0;0;55;0;2;False
2022-04-17;0;0;59;0;2;False
2022-04-24;0;0;67;0;2;False
2022-05-01;0;0;50;0;2;False
2022-05-08;0;0;51;0;2;False
2022-05-15;0;0;51;0;2;False
2022-05-22;0;0;54;0;2;False
2022-05-29;0;0;36;1;2;False
2022-06-05;0;0;55;1;2;False
2022-06-12;0;0;54;0;2;False
2022-06-19;0;0;56;0;2;False
2022-06-26;0;0;62;1;2;False
2022-07-03;0;0;54;1;2;False
2022-07-10;0;0;57;1;2;False
2022-07-17;0;0;52;1;2;False
2022-07-24;0;0;58;0;2;False
2022-07-31;0;0;49;0;2;False
2022-08-07;0;0;44;0;2;False
2022-08-14;0;0;42;0;2;False
2022-08-21;0;0;47;1;2;False
2022-08-28;0;0;46;1;2;False
2022-09-04;0;1;49;1;2;False
2022-09-11;0;0;46;0;2;False
2022-09-18;0;1;40;0;2;False
2022-09-25;0;1;49;0;2;False
2022-10-02;0;1;45;0;2;False
2022-10-09;0;1;43;0;2;False
2022-10-16;0;1;42;0;1;False
2022-10-23;0;1;44;0;1;False
2022-10-30;0;1;43;0;1;False
2022-11-06;0;1;43;0;1;False
2022-11-13;0;1;45;0;1;False
2022-11-20;0;0;46;1;1;False
2022-11-27;0;1;46;1;1;False
2022-12-04;0;0;43;1;1;False
2022-12-11;0;0;46;0;1;False
2022-12-18;0;0;42;1;1;False
2022-12-25;0;0;28;1;2;False
2023-01-01;0;0;56;3;2;False
2023-01-08;1;0;67;8;2;False
2023-01-15;0;1;67;100;2;False
2023-01-22;0;0;93;72;2;False
2023-01-29;0;0;95;15;2;False
