date;Antisemitism;John Cale;Alex Murdaugh;Coral;air travel;isPartial
2022-01-02;1;0;0;63;5;False
2022-01-09;1;0;0;66;6;False
2022-01-16;1;0;0;55;4;False
2022-01-23;1;0;0;67;5;False
2022-01-30;1;0;0;73;5;False
2022-02-06;1;0;0;66;5;False
2022-02-13;1;0;0;76;5;False
2022-02-20;1;1;0;77;6;False
2022-02-27;0;1;0;81;5;False
2022-03-06;1;1;0;75;5;False
2022-03-13;1;0;0;96;5;False
2022-03-20;1;0;0;79;5;False
2022-03-27;1;0;0;76;5;False
2022-04-03;1;0;0;100;5;False
2022-04-10;0;0;0;86;4;False
2022-04-17;1;0;0;76;5;False
2022-04-24;1;0;0;79;5;False
2022-05-01;1;0;0;90;5;False
2022-05-08;1;0;0;78;5;False
2022-05-15;1;0;0;76;5;False
2022-05-22;0;0;0;80;5;False
2022-05-29;0;0;0;84;5;False
2022-06-05;1;0;0;81;6;False
2022-06-12;1;1;0;83;5;False
2022-06-19;1;0;0;75;5;False
2022-06-26;1;0;0;79;5;False
2022-07-03;1;0;0;75;5;False
2022-07-10;0;0;1;80;5;False
2022-07-17;1;0;0;74;5;False
2022-07-24;1;0;0;88;5;False
2022-07-31;0;1;0;87;5;False
2022-08-07;1;0;0;82;4;False
2022-08-14;1;0;0;70;4;False
2022-08-21;0;0;0;82;4;False
2022-08-28;0;0;0;79;4;False
2022-09-04;1;0;0;74;4;False
2022-09-11;1;0;0;77;4;False
2022-09-18;1;0;0;72;4;False
2022-09-25;1;0;0;82;4;False
2022-10-02;1;0;0;76;4;False
2022-10-09;1;0;0;78;4;False
2022-10-16;1;1;0;74;3;False
2022-10-23;6;1;0;77;3;False
2022-10-30;2;1;0;73;3;False
2022-11-06;1;1;0;74;3;False
2022-11-13;1;0;0;71;3;False
2022-11-20;1;0;0;73;4;False
2022-11-27;1;0;0;67;3;False
2022-12-04;1;0;0;76;3;False
2022-12-11;1;0;0;70;3;False
2022-12-18;1;0;0;77;3;False
2022-12-25;1;0;0;85;4;False
2023-01-01;1;0;0;84;4;False
2023-01-08;1;0;0;74;4;False
2023-01-15;1;1;0;81;4;False
2023-01-22;1;0;2;77;4;False
2023-01-29;1;0;2;97;4;False
