date;Margo Jefferson;Cottages;Nintendo Switch;metropolitan police;air travel;isPartial
2022-01-02;0;71;48;1;3;False
2022-01-09;0;64;28;2;3;False
2022-01-16;0;62;26;1;3;False
2022-01-23;0;61;31;2;3;False
2022-01-30;0;58;26;2;3;False
2022-02-06;0;55;31;3;3;False
2022-02-13;0;49;32;1;3;False
2022-02-20;0;49;27;1;3;False
2022-02-27;0;45;25;1;3;False
2022-03-06;0;44;24;1;3;False
2022-03-13;0;47;23;2;3;False
2022-03-20;0;48;22;1;3;False
2022-03-27;0;44;21;1;3;False
2022-04-03;0;48;24;1;3;False
2022-04-10;0;48;27;1;3;False
2022-04-17;0;49;25;1;3;False
2022-04-24;0;45;24;1;3;False
2022-05-01;0;48;26;1;3;False
2022-05-08;0;43;20;1;3;False
2022-05-15;0;43;18;1;3;False
2022-05-22;0;43;17;1;3;False
2022-05-29;0;46;22;1;3;False
2022-06-05;0;47;19;1;4;False
2022-06-12;0;47;17;1;3;False
2022-06-19;0;48;18;1;3;False
2022-06-26;0;50;20;1;3;False
2022-07-03;0;48;19;1;3;False
2022-07-10;0;52;19;1;3;False
2022-07-17;0;49;21;1;3;False
2022-07-24;0;58;22;1;3;False
2022-07-31;0;55;22;1;3;False
2022-08-07;0;53;21;1;3;False
2022-08-14;0;49;23;1;3;False
2022-08-21;0;50;22;1;2;False
2022-08-28;0;49;28;1;3;False
2022-09-04;0;41;21;1;3;False
2022-09-11;0;44;27;2;2;False
2022-09-18;0;39;23;1;2;False
2022-09-25;0;40;22;1;2;False
2022-10-02;0;39;26;1;2;False
2022-10-09;0;39;27;1;2;False
2022-10-16;0;32;23;1;2;False
2022-10-23;0;39;29;1;2;False
2022-10-30;0;30;32;1;2;False
2022-11-06;0;27;40;1;2;False
2022-11-13;0;29;52;1;2;False
2022-11-20;0;24;65;1;2;False
2022-11-27;0;25;50;1;2;False
2022-12-04;0;22;46;1;2;False
2022-12-11;0;21;47;1;2;False
2022-12-18;0;25;56;1;2;False
2022-12-25;0;55;100;1;2;False
2023-01-01;0;57;44;1;3;False
2023-01-08;0;55;28;1;3;False
2023-01-15;0;50;24;2;2;False
2023-01-22;0;50;28;1;2;False
2023-01-29;0;47;26;1;2;False
