date;William Shakespeare;Travelling solo;Andy Haldane;Joan Littlewood;air travel;isPartial
2022-01-02;68;1;0;0;90;False
2022-01-09;73;1;0;1;98;False
2022-01-16;59;2;1;0;77;False
2022-01-23;51;3;0;0;84;False
2022-01-30;53;2;8;0;95;False
2022-02-06;50;0;2;0;96;False
2022-02-13;40;4;1;1;96;False
2022-02-20;49;6;1;2;98;False
2022-02-27;50;1;2;1;86;False
2022-03-06;47;2;1;0;90;False
2022-03-13;51;0;0;0;90;False
2022-03-20;59;2;1;0;88;False
2022-03-27;47;3;2;1;93;False
2022-04-03;38;3;1;0;85;False
2022-04-10;44;2;0;0;74;False
2022-04-17;73;4;0;0;82;False
2022-04-24;67;1;1;0;84;False
2022-05-01;58;3;1;2;87;False
2022-05-08;43;4;3;0;89;False
2022-05-15;49;4;0;0;93;False
2022-05-22;48;3;0;0;88;False
2022-05-29;42;1;0;0;90;False
2022-06-05;56;2;5;0;100;False
2022-06-12;47;4;1;0;87;False
2022-06-19;52;6;2;0;81;False
2022-06-26;44;6;2;0;87;False
2022-07-03;48;4;2;2;92;False
2022-07-10;46;4;1;0;95;False
2022-07-17;33;3;0;0;91;False
2022-07-24;37;3;1;2;90;False
2022-07-31;38;3;1;0;81;False
2022-08-07;34;3;0;1;78;False
2022-08-14;32;4;3;0;77;False
2022-08-21;38;3;1;0;67;False
2022-08-28;35;4;0;2;74;False
2022-09-04;41;3;1;1;80;False
2022-09-11;54;2;5;1;69;False
2022-09-18;43;2;0;1;66;False
2022-09-25;42;2;0;0;68;False
2022-10-02;36;3;0;2;65;False
2022-10-09;39;2;0;0;63;False
2022-10-16;36;1;0;0;57;False
2022-10-23;33;2;1;1;53;False
2022-10-30;38;0;1;1;53;False
2022-11-06;38;5;1;0;59;False
2022-11-13;36;0;3;1;50;False
2022-11-20;33;1;0;0;62;False
2022-11-27;35;2;0;0;61;False
2022-12-04;30;3;1;1;52;False
2022-12-11;38;4;0;1;53;False
2022-12-18;30;2;0;0;50;False
2022-12-25;31;4;0;0;66;False
2023-01-01;53;2;0;1;77;False
2023-01-08;59;3;5;2;71;False
2023-01-15;56;4;0;1;69;False
2023-01-22;47;2;0;0;64;False
2023-01-29;42;2;0;0;69;False
