date;Unite;Cirque du Soleil;rail;People in science;air travel;isPartial
2022-01-02;3;1;42;0;2;False
2022-01-09;3;3;46;0;2;False
2022-01-16;3;3;45;0;2;False
2022-01-23;4;3;50;0;2;False
2022-01-30;3;2;51;0;2;False
2022-02-06;3;3;57;0;2;False
2022-02-13;4;2;65;0;2;False
2022-02-20;3;2;63;0;2;False
2022-02-27;3;1;50;0;2;False
2022-03-06;3;1;51;0;2;False
2022-03-13;3;1;51;0;2;False
2022-03-20;3;0;51;0;2;False
2022-03-27;3;0;48;0;2;False
2022-04-03;4;0;49;0;2;False
2022-04-10;3;1;51;0;2;False
2022-04-17;3;0;61;0;2;False
2022-04-24;3;1;52;0;2;False
2022-05-01;3;1;52;0;2;False
2022-05-08;3;0;54;0;2;False
2022-05-15;3;1;53;0;2;False
2022-05-22;3;1;59;0;2;False
2022-05-29;3;1;57;0;2;False
2022-06-05;3;1;72;0;2;False
2022-06-12;3;1;86;0;2;False
2022-06-19;4;1;100;0;2;False
2022-06-26;3;1;65;0;2;False
2022-07-03;3;1;61;0;2;False
2022-07-10;3;2;69;0;2;False
2022-07-17;3;1;79;0;2;False
2022-07-24;4;1;90;0;2;False
2022-07-31;4;1;67;0;2;False
2022-08-07;3;1;79;0;2;False
2022-08-14;4;1;74;0;2;False
2022-08-21;5;1;69;0;1;False
2022-08-28;4;1;73;0;2;False
2022-09-04;4;1;64;0;2;False
2022-09-11;4;1;59;0;1;False
2022-09-18;4;1;68;0;1;False
2022-09-25;4;2;78;0;1;False
2022-10-02;4;2;85;0;1;False
2022-10-09;4;2;67;0;1;False
2022-10-16;4;2;60;0;1;False
2022-10-23;4;1;67;0;1;False
2022-10-30;4;1;86;0;1;False
2022-11-06;4;1;71;0;1;False
2022-11-13;3;1;66;0;1;False
2022-11-20;3;1;77;0;1;False
2022-11-27;3;1;72;0;1;False
2022-12-04;3;1;91;0;1;False
2022-12-11;3;1;97;0;1;False
2022-12-18;3;2;73;0;1;False
2022-12-25;2;2;61;0;1;False
2023-01-01;3;2;71;0;2;False
2023-01-08;3;2;65;0;2;False
2023-01-15;3;3;67;0;1;False
2023-01-22;3;2;63;0;1;False
2023-01-29;3;2;69;0;1;False
