date;Chelsea;Everton;School admissions;Sociology;air travel;isPartial
2022-01-02;84;0;1;2;1;False
2022-01-09;61;0;2;3;1;False
2022-01-16;40;0;1;3;1;False
2022-01-23;48;0;1;3;1;False
2022-01-30;43;0;1;3;1;False
2022-02-06;48;0;1;3;1;False
2022-02-13;33;0;1;2;1;False
2022-02-20;49;0;1;2;1;False
2022-02-27;100;0;4;3;1;False
2022-03-06;56;0;1;3;1;False
2022-03-13;66;0;1;3;1;False
2022-03-20;31;0;1;3;1;False
2022-03-27;33;0;1;3;1;False
2022-04-03;57;0;1;2;1;False
2022-04-10;63;0;1;2;1;False
2022-04-17;68;0;3;2;1;False
2022-04-24;61;0;1;3;1;False
2022-05-01;57;0;1;3;1;False
2022-05-08;85;0;1;4;1;False
2022-05-15;47;0;1;5;1;False
2022-05-22;53;0;1;4;1;False
2022-05-29;35;0;0;2;1;False
2022-06-05;26;0;1;5;1;False
2022-06-12;27;0;1;3;1;False
2022-06-19;26;0;1;2;1;False
2022-06-26;30;0;1;2;1;False
2022-07-03;36;0;1;1;1;False
2022-07-10;37;0;1;1;1;False
2022-07-17;42;0;1;1;1;False
2022-07-24;49;0;1;1;1;False
2022-07-31;54;0;1;1;1;False
2022-08-07;42;0;1;1;1;False
2022-08-14;57;0;1;1;1;False
2022-08-21;64;0;1;1;1;False
2022-08-28;63;0;2;2;1;False
2022-09-04;59;0;2;2;1;False
2022-09-11;40;0;2;3;1;False
2022-09-18;29;0;2;3;1;False
2022-09-25;33;0;2;3;1;False
2022-10-02;45;0;2;3;1;False
2022-10-09;39;0;2;3;1;False
2022-10-16;60;0;2;2;1;False
2022-10-23;46;0;1;2;1;False
2022-10-30;36;0;2;3;1;False
2022-11-06;63;0;1;3;1;False
2022-11-13;28;0;1;3;1;False
2022-11-20;26;0;1;3;1;False
2022-11-27;24;0;1;3;1;False
2022-12-04;23;0;1;3;1;False
2022-12-11;29;0;1;2;1;False
2022-12-18;29;0;1;1;1;False
2022-12-25;44;0;1;1;1;False
2023-01-01;62;0;1;2;1;False
2023-01-08;72;0;2;3;1;False
2023-01-15;67;0;1;3;1;False
2023-01-22;33;0;1;3;1;False
2023-01-29;57;0;1;3;1;False
