date;Uganda;Cybercrime;Mark Drakeford;Zero-hours contracts;air travel;isPartial
2022-01-02;60;3;24;0;41;False
2022-01-09;57;3;16;0;45;False
2022-01-16;61;4;10;1;35;False
2022-01-23;73;2;9;0;39;False
2022-01-30;68;2;3;0;44;False
2022-02-06;62;2;7;0;44;False
2022-02-13;65;3;3;1;44;False
2022-02-20;61;4;5;0;45;False
2022-02-27;61;5;6;1;40;False
2022-03-06;69;4;3;0;42;False
2022-03-13;70;5;3;0;41;False
2022-03-20;83;4;7;1;40;False
2022-03-27;79;5;3;0;43;False
2022-04-03;75;2;3;0;39;False
2022-04-10;78;3;5;0;34;False
2022-04-17;80;2;2;0;38;False
2022-04-24;75;3;2;0;39;False
2022-05-01;68;4;4;1;40;False
2022-05-08;76;6;2;0;41;False
2022-05-15;71;4;2;0;43;False
2022-05-22;67;4;2;0;40;False
2022-05-29;73;2;1;1;41;False
2022-06-05;72;3;3;0;46;False
2022-06-12;100;2;3;0;40;False
2022-06-19;76;2;2;0;37;False
2022-06-26;84;2;3;0;40;False
2022-07-03;93;1;7;0;42;False
2022-07-10;84;2;1;0;44;False
2022-07-17;76;2;4;0;42;False
2022-07-24;76;3;2;0;41;False
2022-07-31;96;2;6;0;37;False
2022-08-07;76;2;3;1;36;False
2022-08-14;62;1;3;0;35;False
2022-08-21;65;3;1;0;31;False
2022-08-28;66;1;2;0;34;False
2022-09-04;67;3;6;0;37;False
2022-09-11;67;3;15;0;32;False
2022-09-18;67;2;11;0;30;False
2022-09-25;70;4;2;0;31;False
2022-10-02;85;3;3;0;30;False
2022-10-09;87;3;3;0;29;False
2022-10-16;83;3;55;0;26;False
2022-10-23;68;2;8;0;24;False
2022-10-30;73;3;3;0;24;False
2022-11-06;68;3;3;0;27;False
2022-11-13;75;2;3;0;23;False
2022-11-20;63;3;2;0;29;False
2022-11-27;67;2;3;0;28;False
2022-12-04;62;3;2;0;24;False
2022-12-11;61;4;1;0;24;False
2022-12-18;63;3;2;0;23;False
2022-12-25;67;1;4;0;30;False
2023-01-01;66;3;5;0;35;False
2023-01-08;70;2;3;0;33;False
2023-01-15;75;4;2;0;32;False
2023-01-22;62;3;91;0;29;False
2023-01-29;67;4;41;0;32;False
