date;The super-rich;Bournemouth;Sudden infant death syndrome;Arts funding;air travel;isPartial
2023-01-01;0;26;0;0;1;False
2023-01-02;0;25;0;0;1;False
2023-01-03;0;100;0;0;1;False
2023-01-04;0;27;0;0;1;False
2023-01-05;0;19;0;0;1;False
2023-01-06;0;20;0;0;1;False
2023-01-07;0;27;0;0;1;False
2023-01-08;0;20;0;0;1;False
2023-01-09;0;20;0;0;1;False
2023-01-10;0;20;0;0;1;False
2023-01-11;0;19;0;0;1;False
2023-01-12;0;20;0;0;1;False
2023-01-13;0;20;0;0;1;False
2023-01-14;0;31;0;0;1;False
2023-01-15;0;20;0;0;1;False
2023-01-16;0;22;0;0;1;False
2023-01-17;0;20;0;0;1;False
2023-01-18;0;19;0;0;1;False
2023-01-19;0;19;0;0;1;False
2023-01-20;0;21;0;0;1;False
2023-01-21;0;33;0;0;1;False
2023-01-22;0;20;0;0;1;False
2023-01-23;0;21;0;0;1;False
2023-01-24;0;20;0;0;1;False
2023-01-25;0;22;0;0;1;False
2023-01-26;0;19;0;0;1;False
2023-01-27;0;21;0;0;1;False
2023-01-28;0;20;0;0;1;False
2023-01-29;0;18;0;0;1;False
2023-01-30;0;20;0;0;1;False
2023-01-31;0;22;0;0;1;False
