date;Morning Star;Meditation;England;Sixth form;air travel;isPartial
2022-01-02;0;1;15;1;0;False
2022-01-09;0;1;15;1;0;False
2022-01-16;0;1;13;1;0;False
2022-01-23;0;1;14;1;0;False
2022-01-30;0;1;21;1;0;False
2022-02-06;0;1;14;1;0;False
2022-02-13;0;1;15;0;0;False
2022-02-20;0;1;19;0;0;False
2022-02-27;0;1;12;1;0;False
2022-03-06;0;1;19;0;0;False
2022-03-13;0;1;20;1;0;False
2022-03-20;0;1;30;1;0;False
2022-03-27;0;1;22;0;0;False
2022-04-03;0;1;12;0;0;False
2022-04-10;0;1;11;0;0;False
2022-04-17;0;1;10;0;0;False
2022-04-24;0;1;10;0;0;False
2022-05-01;0;1;12;0;0;False
2022-05-08;0;1;12;1;0;False
2022-05-15;0;1;12;0;0;False
2022-05-22;0;1;13;0;0;False
2022-05-29;0;1;27;0;0;False
2022-06-05;0;1;39;0;0;False
2022-06-12;0;1;34;0;0;False
2022-06-19;0;1;21;0;0;False
2022-06-26;0;1;22;1;0;False
2022-07-03;0;1;26;1;0;False
2022-07-10;0;1;25;0;0;False
2022-07-17;0;1;25;0;0;False
2022-07-24;0;1;28;0;0;False
2022-07-31;0;1;43;0;0;False
2022-08-07;0;1;13;0;0;False
2022-08-14;0;1;14;1;0;False
2022-08-21;0;1;15;1;0;False
2022-08-28;0;1;13;1;0;False
2022-09-04;0;1;21;1;0;False
2022-09-11;0;1;18;1;0;False
2022-09-18;0;1;32;1;0;False
2022-09-25;0;1;31;1;0;False
2022-10-02;0;1;17;1;0;False
2022-10-09;0;1;18;1;0;False
2022-10-16;0;1;15;1;0;False
2022-10-23;0;1;14;0;0;False
2022-10-30;0;1;19;1;0;False
2022-11-06;0;1;33;1;0;False
2022-11-13;0;1;33;1;0;False
2022-11-20;0;1;92;1;0;False
2022-11-27;0;1;58;1;0;False
2022-12-04;0;1;100;1;0;False
2022-12-11;0;1;21;1;0;False
2022-12-18;0;1;14;0;0;False
2022-12-25;0;1;9;0;0;False
2023-01-01;0;1;11;1;0;False
2023-01-08;0;1;11;1;0;False
2023-01-15;0;1;11;1;0;False
2023-01-22;0;1;11;1;0;False
2023-01-29;0;1;18;1;0;False
