date;environment;Lisa Marie Presley;everton;Shell;air travel;isPartial
2022-01-02;13;0;0;32;3;False
2022-01-09;16;0;0;32;3;False
2022-01-16;15;0;0;29;2;False
2022-01-23;17;0;0;36;3;False
2022-01-30;16;0;0;46;3;False
2022-02-06;16;0;0;39;3;False
2022-02-13;16;0;0;35;3;False
2022-02-20;21;0;0;41;3;False
2022-02-27;16;0;0;41;3;False
2022-03-06;19;0;0;46;3;False
2022-03-13;19;0;0;37;3;False
2022-03-20;17;0;0;39;3;False
2022-03-27;17;0;0;59;3;False
2022-04-03;14;0;0;41;3;False
2022-04-10;11;0;0;39;2;False
2022-04-17;14;0;0;34;3;False
2022-04-24;17;0;0;35;3;False
2022-05-01;16;0;0;45;3;False
2022-05-08;19;0;0;39;3;False
2022-05-15;16;1;0;38;3;False
2022-05-22;15;0;0;37;3;False
2022-05-29;11;0;0;34;3;False
2022-06-05;15;0;0;38;3;False
2022-06-12;13;1;0;36;3;False
2022-06-19;13;2;0;36;3;False
2022-06-26;13;3;0;39;3;False
2022-07-03;12;2;0;35;3;False
2022-07-10;12;2;0;38;3;False
2022-07-17;12;1;0;39;3;False
2022-07-24;11;2;0;41;3;False
2022-07-31;11;2;0;38;3;False
2022-08-07;11;3;0;42;2;False
2022-08-14;11;3;0;33;2;False
2022-08-21;11;2;0;38;2;False
2022-08-28;11;2;0;38;2;False
2022-09-04;13;1;0;40;3;False
2022-09-11;13;1;0;38;2;False
2022-09-18;13;1;0;39;2;False
2022-09-25;15;0;0;45;2;False
2022-10-02;15;1;0;43;2;False
2022-10-09;16;1;0;38;2;False
2022-10-16;15;1;0;36;2;False
2022-10-23;14;1;0;43;2;False
2022-10-30;15;1;0;38;2;False
2022-11-06;18;0;0;36;2;False
2022-11-13;17;0;0;35;2;False
2022-11-20;14;0;0;33;2;False
2022-11-27;15;0;0;35;2;False
2022-12-04;15;0;0;34;2;False
2022-12-11;13;0;0;33;2;False
2022-12-18;10;0;0;33;2;False
2022-12-25;7;1;0;35;2;False
2023-01-01;13;1;0;34;2;False
2023-01-08;19;100;0;36;2;False
2023-01-15;16;20;0;35;2;False
2023-01-22;16;11;0;37;2;False
2023-01-29;16;4;0;47;2;False
