date;Shipping industry;Commodities;natalie mcnally murder;Indigenous Australians;air travel;isPartial
2023-01-01;14;6;15;0;76;False
2023-01-02;0;13;0;0;90;False
2023-01-03;0;33;0;0;59;False
2023-01-04;13;30;6;0;89;False
2023-01-05;0;25;0;7;73;False
2023-01-06;7;32;5;17;73;False
2023-01-07;0;18;6;0;53;False
2023-01-08;0;0;8;26;84;False
2023-01-09;0;34;20;0;50;False
2023-01-10;0;57;0;0;79;False
2023-01-11;8;36;0;14;90;False
2023-01-12;0;48;0;0;75;False
2023-01-13;0;18;6;0;60;False
2023-01-14;0;10;0;0;56;False
2023-01-15;0;17;0;0;66;False
2023-01-16;9;36;0;0;68;False
2023-01-17;0;42;0;8;56;False
2023-01-18;8;52;9;0;80;False
2023-01-19;5;41;0;0;73;False
2023-01-20;0;48;0;0;59;False
2023-01-21;0;23;0;0;63;False
2023-01-22;0;12;10;0;70;False
2023-01-23;8;28;0;0;72;False
2023-01-24;0;34;0;0;55;False
2023-01-25;0;40;0;0;75;False
2023-01-26;0;33;0;0;68;False
2023-01-27;0;38;11;0;47;False
2023-01-28;0;23;5;0;66;False
2023-01-29;0;24;0;0;60;False
2023-01-30;0;30;0;0;100;False
2023-01-31;7;37;5;0;84;False
