date;Skiing holidays;Paul Beatty ;greece;Schools;air travel;isPartial
2022-01-02;1;0;25;59;2;False
2022-01-09;2;0;31;48;3;False
2022-01-16;1;0;30;44;2;False
2022-01-23;1;0;36;44;2;False
2022-01-30;1;0;31;48;3;False
2022-02-06;1;0;32;43;3;False
2022-02-13;1;0;32;51;3;False
2022-02-20;1;0;32;40;3;False
2022-02-27;1;0;28;44;2;False
2022-03-06;1;0;32;43;2;False
2022-03-13;0;0;32;44;2;False
2022-03-20;0;0;38;44;2;False
2022-03-27;0;0;39;47;3;False
2022-04-03;0;0;39;34;2;False
2022-04-10;0;0;41;25;2;False
2022-04-17;0;0;44;38;2;False
2022-04-24;0;0;44;39;2;False
2022-05-01;0;0;54;41;2;False
2022-05-08;0;0;52;47;2;False
2022-05-15;0;0;50;44;3;False
2022-05-22;0;0;47;47;2;False
2022-05-29;0;0;46;31;2;False
2022-06-05;0;0;52;46;3;False
2022-06-12;0;0;48;42;2;False
2022-06-19;0;0;47;42;2;False
2022-06-26;0;0;46;40;2;False
2022-07-03;0;0;45;41;2;False
2022-07-10;0;0;49;57;3;False
2022-07-17;0;0;49;52;2;False
2022-07-24;0;0;46;27;2;False
2022-07-31;0;0;44;21;2;False
2022-08-07;0;0;48;26;2;False
2022-08-14;0;0;41;35;2;False
2022-08-21;0;0;39;33;2;False
2022-08-28;0;0;37;41;2;False
2022-09-04;0;0;36;100;2;False
2022-09-11;0;0;36;64;2;False
2022-09-18;1;0;33;42;2;False
2022-09-25;0;0;30;42;2;False
2022-10-02;1;0;27;45;2;False
2022-10-09;0;0;24;46;2;False
2022-10-16;1;0;25;44;2;False
2022-10-23;0;0;25;32;1;False
2022-10-30;1;0;16;39;1;False
2022-11-06;1;0;16;42;2;False
2022-11-13;1;0;15;41;1;False
2022-11-20;0;0;14;36;2;False
2022-11-27;1;0;14;40;2;False
2022-12-04;1;0;13;41;1;False
2022-12-11;1;0;12;59;1;False
2022-12-18;1;0;14;23;1;False
2022-12-25;2;0;25;19;2;False
2023-01-01;1;0;31;44;2;False
2023-01-08;1;0;33;43;2;False
2023-01-15;1;0;32;52;2;False
2023-01-22;1;0;28;46;2;False
2023-01-29;1;0;26;56;2;False
