date;Drawing;royal dutch shell;Plagiarism;Christchurch shooting;air travel;isPartial
2022-01-02;82;2;6;0;6;False
2022-01-09;84;1;7;0;6;False
2022-01-16;84;1;6;0;5;False
2022-01-23;88;2;6;0;5;False
2022-01-30;95;2;5;0;6;False
2022-02-06;85;2;5;0;6;False
2022-02-13;86;1;5;0;6;False
2022-02-20;79;2;6;0;6;False
2022-02-27;83;2;6;0;5;False
2022-03-06;81;2;8;0;6;False
2022-03-13;87;1;7;0;6;False
2022-03-20;78;1;7;0;6;False
2022-03-27;83;1;7;0;6;False
2022-04-03;79;1;7;0;5;False
2022-04-10;71;1;5;0;5;False
2022-04-17;68;1;6;0;5;False
2022-04-24;76;1;7;0;5;False
2022-05-01;82;1;7;0;5;False
2022-05-08;86;1;9;0;6;False
2022-05-15;91;1;8;0;6;False
2022-05-22;82;1;6;0;6;False
2022-05-29;71;1;3;0;6;False
2022-06-05;78;1;5;0;6;False
2022-06-12;82;1;4;0;6;False
2022-06-19;81;1;4;0;5;False
2022-06-26;79;1;3;0;6;False
2022-07-03;79;1;3;0;6;False
2022-07-10;78;1;3;0;6;False
2022-07-17;70;1;3;0;6;False
2022-07-24;66;1;3;0;6;False
2022-07-31;63;1;3;0;5;False
2022-08-07;57;1;3;0;5;False
2022-08-14;61;0;3;0;5;False
2022-08-21;61;1;3;0;4;False
2022-08-28;65;1;3;0;5;False
2022-09-04;74;1;3;0;5;False
2022-09-11;88;0;3;0;4;False
2022-09-18;82;0;3;0;4;False
2022-09-25;87;1;4;0;4;False
2022-10-02;93;1;5;0;4;False
2022-10-09;91;1;6;0;4;False
2022-10-16;87;1;6;0;4;False
2022-10-23;87;1;7;0;3;False
2022-10-30;86;1;8;0;3;False
2022-11-06;97;1;8;0;4;False
2022-11-13;94;1;8;0;3;False
2022-11-20;87;1;8;0;4;False
2022-11-27;95;1;9;0;4;False
2022-12-04;88;1;10;0;3;False
2022-12-11;100;1;12;0;3;False
2022-12-18;83;1;5;0;3;False
2022-12-25;74;1;3;0;4;False
2023-01-01;74;0;8;0;5;False
2023-01-08;82;1;11;0;4;False
2023-01-15;84;1;9;0;4;False
2023-01-22;88;0;8;0;4;False
2023-01-29;87;1;7;0;4;False
