date;Channel Islands;Katy Gallagher (Australian politician);Fragrance;andrew tate;air travel;isPartial
2023-01-01;1;0;9;100;2;False
2023-01-02;1;0;12;72;2;False
2023-01-03;1;0;10;56;1;False
2023-01-04;0;0;9;52;2;False
2023-01-05;1;0;9;42;2;False
2023-01-06;1;0;9;47;2;False
2023-01-07;1;0;9;39;1;False
2023-01-08;1;0;10;48;2;False
2023-01-09;0;0;10;63;1;False
2023-01-10;1;0;8;80;2;False
2023-01-11;1;0;10;55;2;False
2023-01-12;1;0;10;54;2;False
2023-01-13;1;0;9;47;2;False
2023-01-14;1;0;9;46;1;False
2023-01-15;1;0;9;39;2;False
2023-01-16;1;0;8;39;2;False
2023-01-17;1;0;8;37;1;False
2023-01-18;1;0;8;35;2;False
2023-01-19;0;0;8;31;2;False
2023-01-20;1;0;8;51;1;False
2023-01-21;0;0;9;39;2;False
2023-01-22;1;0;8;38;2;False
2023-01-23;1;0;7;31;2;False
2023-01-24;0;0;9;33;1;False
2023-01-25;1;0;8;26;2;False
2023-01-26;1;0;8;32;2;False
2023-01-27;1;0;7;25;1;False
2023-01-28;1;0;9;26;2;False
2023-01-29;1;0;9;22;2;False
2023-01-30;1;0;8;20;3;False
2023-01-31;1;0;8;26;2;False
