date;Scotland women's football team;Cynthia Erivo;Halfords;Belgium;air travel;isPartial
2022-01-02;0;1;79;13;4;False
2022-01-09;0;0;68;12;4;False
2022-01-16;0;0;70;14;3;False
2022-01-23;0;0;74;14;4;False
2022-01-30;0;0;75;15;4;False
2022-02-06;0;0;66;15;4;False
2022-02-13;0;0;64;15;4;False
2022-02-20;0;0;67;14;4;False
2022-02-27;0;0;70;14;4;False
2022-03-06;0;0;75;14;4;False
2022-03-13;0;0;78;14;4;False
2022-03-20;0;0;84;24;4;False
2022-03-27;0;0;74;17;4;False
2022-04-03;0;0;74;15;4;False
2022-04-10;0;0;89;14;3;False
2022-04-17;0;0;83;14;3;False
2022-04-24;0;0;78;14;4;False
2022-05-01;0;0;82;15;4;False
2022-05-08;0;0;78;16;4;False
2022-05-15;0;0;79;15;4;False
2022-05-22;0;0;74;17;4;False
2022-05-29;0;0;93;19;4;False
2022-06-05;0;0;79;38;4;False
2022-06-12;0;0;85;24;4;False
2022-06-19;0;0;89;15;3;False
2022-06-26;0;0;91;15;4;False
2022-07-03;0;0;93;16;4;False
2022-07-10;0;0;98;21;4;False
2022-07-17;0;1;96;29;4;False
2022-07-24;0;1;93;16;4;False
2022-07-31;0;0;98;15;3;False
2022-08-07;0;0;99;14;3;False
2022-08-14;0;0;86;14;3;False
2022-08-21;0;5;88;21;3;False
2022-08-28;0;3;88;22;3;False
2022-09-04;0;1;75;14;3;False
2022-09-11;0;1;78;15;3;False
2022-09-18;0;1;70;29;3;False
2022-09-25;0;0;77;17;3;False
2022-10-02;0;1;73;14;3;False
2022-10-09;0;0;73;14;3;False
2022-10-16;0;0;70;14;2;False
2022-10-23;0;0;71;14;2;False
2022-10-30;0;0;71;14;2;False
2022-11-06;0;0;74;17;2;False
2022-11-13;0;0;76;27;2;False
2022-11-20;0;0;75;77;3;False
2022-11-27;0;0;77;93;3;False
2022-12-04;0;0;83;17;2;False
2022-12-11;0;0;100;15;2;False
2022-12-18;0;0;95;14;2;False
2022-12-25;0;0;89;12;3;False
2023-01-01;0;0;80;13;3;False
2023-01-08;0;0;70;13;3;False
2023-01-15;0;0;78;14;3;False
2023-01-22;0;0;78;14;3;False
2023-01-29;0;0;81;14;3;False
