date;Sperm donation;Nitrous oxide (laughing gas);Nish Kumar;Diana, Princess of Wales;air travel;isPartial
2022-01-02;7;0;8;0;90;False
2022-01-09;5;0;9;0;98;False
2022-01-16;0;0;12;2;77;False
2022-01-23;8;1;13;2;84;False
2022-01-30;4;1;33;0;95;False
2022-02-06;6;0;24;0;96;False
2022-02-13;5;0;14;0;96;False
2022-02-20;3;0;13;1;98;False
2022-02-27;5;2;11;0;86;False
2022-03-06;6;3;14;1;90;False
2022-03-13;4;1;15;0;90;False
2022-03-20;5;0;22;2;88;False
2022-03-27;3;3;17;1;93;False
2022-04-03;6;0;18;1;85;False
2022-04-10;5;0;11;0;74;False
2022-04-17;5;0;18;2;82;False
2022-04-24;3;0;10;1;84;False
2022-05-01;4;0;13;0;87;False
2022-05-08;7;0;12;0;89;False
2022-05-15;5;1;7;2;93;False
2022-05-22;7;2;32;1;88;False
2022-05-29;6;1;10;2;90;False
2022-06-05;2;1;13;3;100;False
2022-06-12;2;1;12;2;87;False
2022-06-19;6;1;8;0;81;False
2022-06-26;3;0;7;0;87;False
2022-07-03;4;1;38;1;92;False
2022-07-10;3;0;10;2;95;False
2022-07-17;3;1;7;2;91;False
2022-07-24;3;1;8;1;90;False
2022-07-31;3;3;9;1;81;False
2022-08-07;0;0;12;1;78;False
2022-08-14;3;1;14;2;77;False
2022-08-21;3;2;11;0;67;False
2022-08-28;7;3;12;0;74;False
2022-09-04;8;1;13;15;80;False
2022-09-11;3;0;10;22;69;False
2022-09-18;6;0;8;10;66;False
2022-09-25;3;0;10;3;68;False
2022-10-02;4;2;7;2;65;False
2022-10-09;3;0;10;1;63;False
2022-10-16;5;3;9;1;57;False
2022-10-23;4;3;8;2;53;False
2022-10-30;2;1;5;0;53;False
2022-11-06;5;1;5;3;59;False
2022-11-13;3;1;7;9;50;False
2022-11-20;4;1;8;2;62;False
2022-11-27;3;1;7;2;61;False
2022-12-04;4;0;4;1;52;False
2022-12-11;3;1;3;2;53;False
2022-12-18;4;0;8;1;50;False
2022-12-25;2;0;11;0;66;False
2023-01-01;4;1;14;2;77;False
2023-01-08;5;2;13;2;71;False
2023-01-15;5;0;8;0;69;False
2023-01-22;5;9;7;2;64;False
2023-01-29;5;3;10;0;69;False
