date;ukraine war diaries;Rock climbing;Beth Orton;Orange Tree theatre;air travel;isPartial
2022-01-02;0;77;3;5;90;False
2022-01-09;0;66;3;3;98;False
2022-01-16;0;59;0;2;77;False
2022-01-23;0;69;0;3;84;False
2022-01-30;0;68;3;4;95;False
2022-02-06;0;62;0;2;96;False
2022-02-13;0;74;0;3;96;False
2022-02-20;1;77;2;1;98;False
2022-02-27;0;57;3;2;86;False
2022-03-06;0;59;3;2;90;False
2022-03-13;0;54;2;3;90;False
2022-03-20;0;61;3;3;88;False
2022-03-27;0;56;4;4;93;False
2022-04-03;1;57;3;3;85;False
2022-04-10;0;64;3;4;74;False
2022-04-17;0;57;3;1;82;False
2022-04-24;0;53;2;4;84;False
2022-05-01;0;65;3;2;87;False
2022-05-08;0;49;3;1;89;False
2022-05-15;0;53;3;3;93;False
2022-05-22;1;53;0;4;88;False
2022-05-29;1;64;10;3;90;False
2022-06-05;0;62;19;5;100;False
2022-06-12;2;44;9;0;87;False
2022-06-19;1;49;23;3;81;False
2022-06-26;0;49;22;0;87;False
2022-07-03;0;52;1;2;92;False
2022-07-10;0;49;2;3;95;False
2022-07-17;0;52;4;3;91;False
2022-07-24;0;66;4;3;90;False
2022-07-31;0;67;4;1;81;False
2022-08-07;0;55;4;1;78;False
2022-08-14;0;61;9;2;77;False
2022-08-21;0;59;6;3;67;False
2022-08-28;0;63;5;5;74;False
2022-09-04;0;56;2;3;80;False
2022-09-11;2;61;5;2;69;False
2022-09-18;0;56;10;3;66;False
2022-09-25;0;50;15;3;68;False
2022-10-02;1;67;9;2;65;False
2022-10-09;0;54;20;2;63;False
2022-10-16;0;57;6;2;57;False
2022-10-23;1;60;3;4;53;False
2022-10-30;0;51;4;2;53;False
2022-11-06;1;57;0;4;59;False
2022-11-13;0;53;1;2;50;False
2022-11-20;0;39;5;7;62;False
2022-11-27;0;42;4;3;61;False
2022-12-04;0;36;3;5;52;False
2022-12-11;0;39;5;5;53;False
2022-12-18;0;45;5;0;50;False
2022-12-25;0;61;2;5;66;False
2023-01-01;0;69;2;3;77;False
2023-01-08;0;51;0;6;71;False
2023-01-15;0;61;1;3;69;False
2023-01-22;0;64;0;3;64;False
2023-01-29;0;67;0;3;69;False
