date;Australasia holidays;Counter-terrorism policy;Climate finance;Christmas Island;air travel;isPartial
2022-01-02;0;0;2;26;64;False
2022-01-09;0;0;3;12;70;False
2022-01-16;0;0;5;8;55;False
2022-01-23;0;0;1;5;61;False
2022-01-30;0;0;2;8;68;False
2022-02-06;0;0;3;7;69;False
2022-02-13;0;0;2;6;69;False
2022-02-20;0;0;4;8;70;False
2022-02-27;0;0;2;6;62;False
2022-03-06;0;0;4;7;65;False
2022-03-13;0;0;3;9;64;False
2022-03-20;0;0;3;49;63;False
2022-03-27;0;0;4;8;67;False
2022-04-03;0;0;3;9;61;False
2022-04-10;0;0;3;9;53;False
2022-04-17;0;0;5;9;59;False
2022-04-24;0;0;1;8;60;False
2022-05-01;0;0;4;10;62;False
2022-05-08;0;0;3;9;64;False
2022-05-15;0;0;4;12;67;False
2022-05-22;0;0;3;7;63;False
2022-05-29;0;0;2;9;64;False
2022-06-05;0;0;1;9;72;False
2022-06-12;0;0;2;5;63;False
2022-06-19;0;0;1;10;58;False
2022-06-26;0;0;3;7;63;False
2022-07-03;0;0;2;13;66;False
2022-07-10;0;0;0;11;68;False
2022-07-17;0;0;4;8;65;False
2022-07-24;0;0;3;10;64;False
2022-07-31;0;0;2;11;58;False
2022-08-07;0;0;4;10;56;False
2022-08-14;0;0;2;9;55;False
2022-08-21;0;0;3;12;48;False
2022-08-28;0;0;3;13;53;False
2022-09-04;0;0;4;14;57;False
2022-09-11;0;0;1;12;50;False
2022-09-18;0;0;3;17;47;False
2022-09-25;0;0;2;17;49;False
2022-10-02;0;0;3;20;47;False
2022-10-09;0;0;3;21;45;False
2022-10-16;0;0;3;22;41;False
2022-10-23;0;0;5;25;38;False
2022-10-30;0;0;4;37;38;False
2022-11-06;0;0;6;50;42;False
2022-11-13;0;0;2;53;36;False
2022-11-20;0;0;3;63;45;False
2022-11-27;0;0;3;79;44;False
2022-12-04;0;0;4;80;37;False
2022-12-11;0;0;2;89;38;False
2022-12-18;0;0;1;100;36;False
2022-12-25;0;0;2;71;47;False
2023-01-01;0;0;0;20;55;False
2023-01-08;0;0;4;14;51;False
2023-01-15;0;0;4;11;49;False
2023-01-22;0;0;5;8;46;False
2023-01-29;0;0;5;7;49;False
