date;suella braverman;Far right;Walt Disney Company;northumberland;air travel;isPartial
2022-01-02;4;2;1;64;11;False
2022-01-09;1;3;1;68;13;False
2022-01-16;1;2;1;59;9;False
2022-01-23;0;2;1;61;10;False
2022-01-30;0;3;1;59;12;False
2022-02-06;0;3;1;58;12;False
2022-02-13;0;4;1;58;12;False
2022-02-20;0;5;1;54;12;False
2022-02-27;0;5;1;46;11;False
2022-03-06;0;5;1;49;11;False
2022-03-13;3;4;1;51;11;False
2022-03-20;1;4;1;55;11;False
2022-03-27;1;3;0;51;11;False
2022-04-03;0;4;1;61;11;False
2022-04-10;0;8;1;59;9;False
2022-04-17;0;5;0;54;10;False
2022-04-24;1;7;1;54;10;False
2022-05-01;1;3;1;66;11;False
2022-05-08;4;3;1;59;11;False
2022-05-15;1;3;1;56;11;False
2022-05-22;2;2;1;58;11;False
2022-05-29;1;2;1;67;11;False
2022-06-05;2;2;0;58;12;False
2022-06-12;3;2;1;57;11;False
2022-06-19;2;2;0;58;10;False
2022-06-26;1;3;0;56;11;False
2022-07-03;64;2;0;54;11;False
2022-07-10;56;3;0;58;12;False
2022-07-17;2;2;1;60;11;False
2022-07-24;3;2;1;61;11;False
2022-07-31;3;2;1;60;10;False
2022-08-07;3;2;0;64;10;False
2022-08-14;1;2;1;57;9;False
2022-08-21;1;2;1;58;8;False
2022-08-28;1;2;1;57;9;False
2022-09-04;57;3;1;51;10;False
2022-09-11;5;3;1;51;9;False
2022-09-18;4;4;1;52;8;False
2022-09-25;4;21;0;50;8;False
2022-10-02;40;4;1;51;8;False
2022-10-09;23;4;0;48;8;False
2022-10-16;100;5;0;44;7;False
2022-10-23;91;4;0;47;7;False
2022-10-30;67;5;1;39;6;False
2022-11-06;14;3;1;43;7;False
2022-11-13;7;3;1;39;6;False
2022-11-20;9;2;1;35;8;False
2022-11-27;6;2;0;38;7;False
2022-12-04;5;3;0;36;6;False
2022-12-11;4;2;1;38;7;False
2022-12-18;5;2;0;40;6;False
2022-12-25;5;2;1;44;8;False
2023-01-01;2;3;1;50;9;False
2023-01-08;4;3;0;46;9;False
2023-01-15;12;2;1;49;9;False
2023-01-22;7;3;1;55;8;False
2023-01-29;4;3;0;63;8;False
