date;Emma Thompson;David Beckham;Queen Elizabeth II;Madagascar;air travel;isPartial
2022-01-02;2;5;1;6;3;False
2022-01-09;1;5;1;5;4;False
2022-01-16;2;4;1;4;3;False
2022-01-23;3;4;1;5;3;False
2022-01-30;2;4;2;5;4;False
2022-02-06;2;3;2;5;4;False
2022-02-13;1;5;1;4;4;False
2022-02-20;1;5;5;7;4;False
2022-02-27;1;3;2;5;3;False
2022-03-06;1;3;1;5;3;False
2022-03-13;1;4;2;5;3;False
2022-03-20;1;5;2;5;3;False
2022-03-27;1;6;1;12;3;False
2022-04-03;1;6;2;6;3;False
2022-04-10;1;11;1;5;3;False
2022-04-17;2;5;3;5;3;False
2022-04-24;1;4;2;5;3;False
2022-05-01;1;6;2;4;3;False
2022-05-08;1;7;3;5;3;False
2022-05-15;2;5;4;5;3;False
2022-05-22;2;5;8;6;3;False
2022-05-29;2;6;12;8;3;False
2022-06-05;8;8;5;6;4;False
2022-06-12;7;7;1;6;3;False
2022-06-19;7;4;6;5;3;False
2022-06-26;4;5;1;4;3;False
2022-07-03;3;6;1;5;3;False
2022-07-10;3;6;2;6;4;False
2022-07-17;2;5;1;5;3;False
2022-07-24;2;5;1;5;3;False
2022-07-31;2;5;1;5;3;False
2022-08-07;4;4;1;5;3;False
2022-08-14;2;3;1;5;3;False
2022-08-21;2;4;1;4;3;False
2022-08-28;2;4;2;4;3;False
2022-09-04;2;4;100;5;3;False
2022-09-11;2;26;52;4;3;False
2022-09-18;2;13;36;6;2;False
2022-09-25;2;5;5;4;3;False
2022-10-02;3;5;4;4;2;False
2022-10-09;3;4;2;5;2;False
2022-10-16;2;4;2;5;2;False
2022-10-23;4;5;2;5;2;False
2022-10-30;2;5;1;4;2;False
2022-11-06;3;6;2;4;2;False
2022-11-13;2;13;2;4;2;False
2022-11-20;3;16;1;4;2;False
2022-11-27;4;8;2;4;2;False
2022-12-04;3;9;1;4;2;False
2022-12-11;4;8;1;4;2;False
2022-12-18;5;8;1;6;2;False
2022-12-25;8;6;2;7;2;False
2023-01-01;5;5;1;6;3;False
2023-01-08;6;5;1;4;3;False
2023-01-15;4;3;1;6;3;False
2023-01-22;3;5;1;5;2;False
2023-01-29;3;3;1;5;3;False
