date;Animal welfare;wages;Gustav Mahler;Meteors;air travel;isPartial
2023-01-01;7;56;0;0;22;False
2023-01-02;12;67;0;4;25;False
2023-01-03;11;73;2;4;17;False
2023-01-04;14;77;0;4;25;False
2023-01-05;15;78;2;2;21;False
2023-01-06;11;83;0;2;21;False
2023-01-07;9;74;0;3;15;False
2023-01-08;8;68;0;0;24;False
2023-01-09;14;84;0;0;14;False
2023-01-10;13;82;0;3;22;False
2023-01-11;12;88;0;0;25;False
2023-01-12;13;81;0;2;21;False
2023-01-13;9;67;0;3;17;False
2023-01-14;8;64;3;4;16;False
2023-01-15;3;76;0;0;19;False
2023-01-16;16;70;0;0;19;False
2023-01-17;12;74;0;2;16;False
2023-01-18;12;85;0;0;23;False
2023-01-19;11;71;0;0;21;False
2023-01-20;17;81;0;3;17;False
2023-01-21;4;66;0;3;18;False
2023-01-22;9;66;0;1;20;False
2023-01-23;14;83;0;0;20;False
2023-01-24;8;95;2;2;16;False
2023-01-25;10;80;1;4;21;False
2023-01-26;15;86;0;4;19;False
2023-01-27;8;83;0;0;13;False
2023-01-28;6;83;0;0;19;False
2023-01-29;8;68;2;3;17;False
2023-01-30;9;92;2;3;28;False
2023-01-31;12;100;3;0;24;False
