date;Calais;Derbyshire;Eric Adams;London School of Economics and Political Science;air travel;isPartial
2022-01-02;13;73;2;0;12;False
2022-01-09;15;71;2;0;13;False
2022-01-16;16;76;1;0;10;False
2022-01-23;16;76;1;0;11;False
2022-01-30;17;77;0;0;13;False
2022-02-06;16;69;0;0;13;False
2022-02-13;23;83;1;0;13;False
2022-02-20;19;90;0;0;13;False
2022-02-27;18;73;0;0;11;False
2022-03-06;24;68;0;0;12;False
2022-03-13;23;77;0;0;12;False
2022-03-20;23;71;0;0;12;False
2022-03-27;25;78;0;0;12;False
2022-04-03;26;85;0;0;11;False
2022-04-10;26;76;0;0;10;False
2022-04-17;24;78;0;0;11;False
2022-04-24;23;78;0;0;11;False
2022-05-01;29;100;0;0;12;False
2022-05-08;25;79;0;0;12;False
2022-05-15;25;85;0;0;12;False
2022-05-22;31;78;1;0;12;False
2022-05-29;29;76;0;0;12;False
2022-06-05;28;97;0;0;13;False
2022-06-12;28;75;0;0;12;False
2022-06-19;29;83;0;0;11;False
2022-06-26;30;87;0;0;12;False
2022-07-03;32;81;0;0;12;False
2022-07-10;35;91;1;0;13;False
2022-07-17;39;83;0;0;12;False
2022-07-24;36;78;0;0;12;False
2022-07-31;35;89;0;0;11;False
2022-08-07;31;82;0;0;10;False
2022-08-14;29;80;0;0;10;False
2022-08-21;32;87;0;0;9;False
2022-08-28;30;77;0;0;10;False
2022-09-04;21;71;0;0;11;False
2022-09-11;22;71;1;0;9;False
2022-09-18;20;65;0;0;9;False
2022-09-25;16;73;0;0;9;False
2022-10-02;18;70;0;0;9;False
2022-10-09;17;66;0;0;8;False
2022-10-16;17;61;0;0;8;False
2022-10-23;18;63;0;0;7;False
2022-10-30;16;60;0;0;7;False
2022-11-06;16;61;0;0;8;False
2022-11-13;16;58;0;0;7;False
2022-11-20;15;52;0;0;8;False
2022-11-27;17;55;0;0;8;False
2022-12-04;15;54;0;0;7;False
2022-12-11;19;56;0;0;7;False
2022-12-18;15;56;0;0;7;False
2022-12-25;20;58;0;0;9;False
2023-01-01;22;85;0;0;10;False
2023-01-08;19;77;0;0;9;False
2023-01-15;21;71;0;0;9;False
2023-01-22;21;67;0;0;8;False
2023-01-29;19;72;0;0;9;False
