date;transport;Utah;Regional & local newspapers;Archaeology;air travel;isPartial
2022-01-02;63;8;0;5;7;False
2022-01-09;71;7;0;6;7;False
2022-01-16;75;6;0;6;6;False
2022-01-23;81;6;0;4;6;False
2022-01-30;79;7;0;5;7;False
2022-02-06;75;6;0;5;7;False
2022-02-13;87;7;0;5;7;False
2022-02-20;77;7;0;5;7;False
2022-02-27;88;6;0;4;7;False
2022-03-06;83;6;0;5;7;False
2022-03-13;78;7;0;4;7;False
2022-03-20;79;7;0;4;7;False
2022-03-27;79;6;0;4;7;False
2022-04-03;78;6;0;4;6;False
2022-04-10;74;7;0;4;6;False
2022-04-17;71;10;0;4;6;False
2022-04-24;80;8;0;4;6;False
2022-05-01;83;8;0;5;7;False
2022-05-08;94;6;0;5;7;False
2022-05-15;87;7;0;4;7;False
2022-05-22;83;7;0;4;7;False
2022-05-29;76;6;0;3;7;False
2022-06-05;95;7;0;4;8;False
2022-06-12;87;8;0;4;7;False
2022-06-19;100;8;0;4;6;False
2022-06-26;81;8;0;5;7;False
2022-07-03;83;7;0;4;7;False
2022-07-10;80;7;0;4;7;False
2022-07-17;78;7;0;5;7;False
2022-07-24;84;8;0;5;7;False
2022-07-31;80;9;0;4;6;False
2022-08-07;79;7;0;4;6;False
2022-08-14;83;9;0;4;6;False
2022-08-21;94;7;0;4;5;False
2022-08-28;74;8;0;4;6;False
2022-09-04;92;7;0;4;6;False
2022-09-11;89;6;0;4;5;False
2022-09-18;79;6;0;4;5;False
2022-09-25;86;6;0;5;5;False
2022-10-02;82;6;0;4;5;False
2022-10-09;77;6;0;4;5;False
2022-10-16;80;6;0;4;4;False
2022-10-23;82;7;0;5;4;False
2022-10-30;78;7;0;4;4;False
2022-11-06;88;8;0;5;4;False
2022-11-13;78;7;0;5;4;False
2022-11-20;74;5;0;4;5;False
2022-11-27;81;7;0;4;5;False
2022-12-04;74;5;0;4;4;False
2022-12-11;74;6;0;4;4;False
2022-12-18;71;8;0;3;4;False
2022-12-25;69;7;0;3;5;False
2023-01-01;73;9;0;4;6;False
2023-01-08;79;7;0;4;5;False
2023-01-15;77;7;0;5;5;False
2023-01-22;74;7;0;5;5;False
2023-01-29;80;7;0;5;5;False
