date;Police;Travelling with disabilities;Brighton & Hove Albion;bbc;air travel;isPartial
2022-01-02;4;0;0;71;0;False
2022-01-09;5;0;0;72;0;False
2022-01-16;4;0;0;65;0;False
2022-01-23;4;0;0;59;0;False
2022-01-30;5;0;0;75;0;False
2022-02-06;5;0;0;64;0;False
2022-02-13;4;0;0;75;0;False
2022-02-20;4;0;0;91;0;False
2022-02-27;4;0;0;87;0;False
2022-03-06;4;0;0;77;0;False
2022-03-13;4;0;0;73;0;False
2022-03-20;4;0;0;62;0;False
2022-03-27;4;0;0;63;0;False
2022-04-03;4;0;0;65;0;False
2022-04-10;4;0;0;69;0;False
2022-04-17;4;0;0;63;0;False
2022-04-24;4;0;0;61;0;False
2022-05-01;5;0;0;72;0;False
2022-05-08;4;0;0;72;0;False
2022-05-15;4;0;0;73;0;False
2022-05-22;4;0;0;64;0;False
2022-05-29;4;0;0;70;0;False
2022-06-05;4;0;0;64;0;False
2022-06-12;4;0;0;71;0;False
2022-06-19;4;0;0;64;0;False
2022-06-26;4;0;0;69;0;False
2022-07-03;4;0;0;81;0;False
2022-07-10;4;0;0;74;0;False
2022-07-17;4;0;0;81;0;False
2022-07-24;4;0;0;64;0;False
2022-07-31;4;0;0;65;0;False
2022-08-07;4;0;0;76;0;False
2022-08-14;4;0;0;69;0;False
2022-08-21;4;0;0;74;0;False
2022-08-28;4;0;0;69;0;False
2022-09-04;4;0;0;100;0;False
2022-09-11;5;0;0;74;0;False
2022-09-18;4;0;0;67;0;False
2022-09-25;4;0;0;64;0;False
2022-10-02;4;0;0;67;0;False
2022-10-09;4;0;0;67;0;False
2022-10-16;4;0;0;78;0;False
2022-10-23;4;0;0;75;0;False
2022-10-30;4;0;0;67;0;False
2022-11-06;4;0;0;68;0;False
2022-11-13;4;0;0;66;0;False
2022-11-20;4;0;0;75;0;False
2022-11-27;4;0;0;68;0;False
2022-12-04;4;0;0;71;0;False
2022-12-11;4;0;0;75;0;False
2022-12-18;4;0;0;67;0;False
2022-12-25;4;0;0;64;0;False
2023-01-01;4;0;0;65;0;False
2023-01-08;4;0;0;70;0;False
2023-01-15;5;0;0;70;0;False
2023-01-22;5;0;0;64;0;False
2023-01-29;5;0;0;67;0;False
