date;Channel Seven;TfL;Greater Manchester;Espanyol;air travel;isPartial
2022-01-02;0;34;4;1;3;False
2022-01-09;0;30;4;1;3;False
2022-01-16;0;32;4;1;2;False
2022-01-23;0;32;4;0;2;False
2022-01-30;0;37;4;0;3;False
2022-02-06;0;36;3;1;3;False
2022-02-13;0;50;3;3;3;False
2022-02-20;0;46;4;1;3;False
2022-02-27;0;100;3;0;2;False
2022-03-06;0;43;3;0;3;False
2022-03-13;0;40;3;0;3;False
2022-03-20;0;40;3;0;3;False
2022-03-27;0;37;3;0;3;False
2022-04-03;0;35;3;1;2;False
2022-04-10;0;40;3;0;2;False
2022-04-17;0;38;3;1;2;False
2022-04-24;0;37;3;2;2;False
2022-05-01;0;39;3;1;3;False
2022-05-08;0;41;3;1;3;False
2022-05-15;0;46;3;0;3;False
2022-05-22;0;49;3;0;3;False
2022-05-29;0;49;3;0;3;False
2022-06-05;0;73;3;0;3;False
2022-06-12;0;51;3;0;3;False
2022-06-19;0;100;3;0;2;False
2022-06-26;0;49;3;0;3;False
2022-07-03;0;41;3;0;3;False
2022-07-10;0;42;3;0;3;False
2022-07-17;0;54;3;0;3;False
2022-07-24;0;55;3;1;3;False
2022-07-31;0;46;3;1;2;False
2022-08-07;0;50;3;0;2;False
2022-08-14;0;76;3;1;2;False
2022-08-21;0;50;3;0;2;False
2022-08-28;0;47;3;4;2;False
2022-09-04;0;45;3;2;2;False
2022-09-11;0;52;3;0;2;False
2022-09-18;0;49;3;0;2;False
2022-09-25;0;51;3;0;2;False
2022-10-02;0;56;3;0;2;False
2022-10-09;0;43;3;0;2;False
2022-10-16;0;40;3;1;2;False
2022-10-23;0;45;3;1;2;False
2022-10-30;0;60;3;0;2;False
2022-11-06;0;80;3;1;2;False
2022-11-13;0;45;3;0;1;False
2022-11-20;0;51;3;0;2;False
2022-11-27;0;48;2;0;2;False
2022-12-04;0;49;3;0;2;False
2022-12-11;0;92;2;0;2;False
2022-12-18;0;49;2;0;1;False
2022-12-25;0;46;2;4;2;False
2023-01-01;0;59;3;1;2;False
2023-01-08;0;45;3;0;2;False
2023-01-15;0;44;3;1;2;False
2023-01-22;0;48;3;1;2;False
2023-01-29;0;56;3;0;2;False
