date;Princess Margaret;georgia, us;Rape and sexual assault;Maria Ressa;air travel;isPartial
2022-01-02;4;0;0;0;5;False
2022-01-09;4;0;0;0;6;False
2022-01-16;4;0;0;0;5;False
2022-01-23;3;0;0;0;5;False
2022-01-30;3;0;0;0;6;False
2022-02-06;7;0;0;0;6;False
2022-02-13;4;0;0;0;6;False
2022-02-20;4;0;0;0;6;False
2022-02-27;2;0;0;0;5;False
2022-03-06;2;0;0;0;5;False
2022-03-13;4;0;0;0;5;False
2022-03-20;4;0;0;0;5;False
2022-03-27;3;0;0;0;6;False
2022-04-03;3;0;0;0;5;False
2022-04-10;3;0;0;0;4;False
2022-04-17;3;0;0;0;5;False
2022-04-24;2;0;0;0;5;False
2022-05-01;3;0;0;0;5;False
2022-05-08;3;0;0;0;5;False
2022-05-15;3;0;0;0;6;False
2022-05-22;4;0;0;0;5;False
2022-05-29;17;0;0;0;5;False
2022-06-05;9;0;0;0;6;False
2022-06-12;5;0;0;0;5;False
2022-06-19;3;0;0;0;5;False
2022-06-26;3;0;0;0;5;False
2022-07-03;2;0;0;0;5;False
2022-07-10;3;0;0;0;6;False
2022-07-17;3;0;0;0;5;False
2022-07-24;2;0;0;0;5;False
2022-07-31;2;0;0;0;5;False
2022-08-07;2;0;0;0;5;False
2022-08-14;2;0;0;0;5;False
2022-08-21;2;0;0;0;4;False
2022-08-28;3;0;0;0;4;False
2022-09-04;45;0;0;0;5;False
2022-09-11;77;0;0;0;4;False
2022-09-18;100;0;0;0;4;False
2022-09-25;19;0;0;0;4;False
2022-10-02;12;0;0;0;4;False
2022-10-09;8;0;0;0;4;False
2022-10-16;8;0;0;0;3;False
2022-10-23;7;0;0;0;3;False
2022-10-30;6;0;0;0;3;False
2022-11-06;23;0;0;0;4;False
2022-11-13;26;0;0;0;3;False
2022-11-20;15;0;0;0;4;False
2022-11-27;11;0;0;0;4;False
2022-12-04;8;0;0;0;3;False
2022-12-11;7;0;0;0;3;False
2022-12-18;6;0;0;0;3;False
2022-12-25;6;0;0;0;4;False
2023-01-01;6;0;0;0;5;False
2023-01-08;6;0;0;0;4;False
2023-01-15;5;0;0;0;4;False
2023-01-22;4;0;0;0;4;False
2023-01-29;6;0;0;0;4;False
