date;Arsenal;NFL;Ballet;Midwifery;air travel;isPartial
2022-01-02;34;17;4;1;1;False
2022-01-09;79;21;4;1;1;False
2022-01-16;52;22;4;1;1;False
2022-01-23;43;21;4;1;1;False
2022-01-30;34;17;7;1;1;False
2022-02-06;28;6;4;1;1;False
2022-02-13;23;12;3;1;1;False
2022-02-20;34;3;4;1;1;False
2022-02-27;20;4;4;1;1;False
2022-03-06;30;4;3;1;1;False
2022-03-13;54;5;3;1;1;False
2022-03-20;20;4;4;1;1;False
2022-03-27;16;3;3;1;1;False
2022-04-03;41;3;3;1;1;False
2022-04-10;24;3;3;1;1;False
2022-04-17;58;3;3;1;1;False
2022-04-24;22;9;3;1;1;False
2022-05-01;36;5;3;1;1;False
2022-05-08;55;3;3;1;1;False
2022-05-15;41;3;3;1;1;False
2022-05-22;31;2;3;1;1;False
2022-05-29;23;3;3;0;1;False
2022-06-05;22;2;3;1;1;False
2022-06-12;33;3;3;0;1;False
2022-06-19;36;3;3;1;1;False
2022-06-26;39;3;3;1;1;False
2022-07-03;47;2;3;1;1;False
2022-07-10;40;3;3;0;1;False
2022-07-17;48;3;3;0;1;False
2022-07-24;61;5;3;0;1;False
2022-07-31;67;4;2;0;1;False
2022-08-07;53;4;2;0;1;False
2022-08-14;48;4;3;1;1;False
2022-08-21;57;5;2;1;1;False
2022-08-28;61;6;3;1;1;False
2022-09-04;65;9;3;1;1;False
2022-09-11;24;19;4;1;1;False
2022-09-18;36;16;3;1;1;False
2022-09-25;42;16;3;1;1;False
2022-10-02;34;17;4;1;1;False
2022-10-09;63;15;3;1;1;False
2022-10-16;62;14;3;1;1;False
2022-10-23;45;14;3;1;0;False
2022-10-30;52;14;4;1;0;False
2022-11-06;64;12;4;1;1;False
2022-11-13;23;13;4;1;0;False
2022-11-20;15;13;4;0;1;False
2022-11-27;15;10;4;1;1;False
2022-12-04;20;11;3;1;0;False
2022-12-11;26;15;3;1;0;False
2022-12-18;23;18;3;0;0;False
2022-12-25;62;15;4;0;1;False
2023-01-01;56;18;4;1;1;False
2023-01-08;59;19;4;1;1;False
2023-01-15;76;23;4;1;1;False
2023-01-22;100;18;4;1;1;False
2023-01-29;55;13;4;1;1;False
