date;northamptonshire;Wiltshire;andrew bridgen;Caribbean;air travel;isPartial
2022-01-02;14;38;0;52;7;False
2022-01-09;15;38;2;50;8;False
2022-01-16;14;34;2;47;6;False
2022-01-23;13;36;0;56;7;False
2022-01-30;15;37;1;55;7;False
2022-02-06;14;34;0;48;7;False
2022-02-13;14;49;0;50;7;False
2022-02-20;14;33;2;55;8;False
2022-02-27;14;38;0;49;7;False
2022-03-06;13;38;0;56;7;False
2022-03-13;14;35;0;55;7;False
2022-03-20;15;36;0;70;7;False
2022-03-27;14;34;0;55;7;False
2022-04-03;15;34;0;54;7;False
2022-04-10;14;33;0;63;6;False
2022-04-17;15;33;2;70;6;False
2022-04-24;15;34;0;76;7;False
2022-05-01;15;35;0;100;7;False
2022-05-08;15;35;1;84;7;False
2022-05-15;15;33;0;84;7;False
2022-05-22;12;32;0;82;7;False
2022-05-29;14;35;1;99;7;False
2022-06-05;15;33;1;68;8;False
2022-06-12;15;33;0;65;7;False
2022-06-19;15;35;0;57;6;False
2022-06-26;15;35;0;73;7;False
2022-07-03;15;35;2;55;7;False
2022-07-10;14;36;0;57;7;False
2022-07-17;15;37;0;67;7;False
2022-07-24;14;36;0;57;7;False
2022-07-31;13;36;0;60;6;False
2022-08-07;17;39;0;64;6;False
2022-08-14;14;34;0;55;6;False
2022-08-21;15;39;0;56;5;False
2022-08-28;14;37;0;57;6;False
2022-09-04;13;32;2;50;6;False
2022-09-11;13;34;0;51;5;False
2022-09-18;11;31;0;53;5;False
2022-09-25;12;31;1;46;5;False
2022-10-02;13;32;0;43;5;False
2022-10-09;12;31;0;40;5;False
2022-10-16;12;31;1;50;4;False
2022-10-23;12;29;0;49;4;False
2022-10-30;11;30;2;41;4;False
2022-11-06;12;30;1;40;5;False
2022-11-13;11;30;0;40;4;False
2022-11-20;10;26;0;36;5;False
2022-11-27;12;27;0;34;5;False
2022-12-04;10;28;0;31;4;False
2022-12-11;11;30;3;33;4;False
2022-12-18;11;28;2;39;4;False
2022-12-25;10;30;1;75;5;False
2023-01-01;12;36;1;69;6;False
2023-01-08;13;35;20;60;6;False
2023-01-15;12;33;3;59;5;False
2023-01-22;12;33;2;55;5;False
2023-01-29;13;33;2;56;5;False
