date;Freedom of information;Japan disaster;james webb space telescope;The Shins;air travel;isPartial
2023-01-01;0;0;0;0;76;False
2023-01-02;0;0;9;0;90;False
2023-01-03;37;0;11;0;59;False
2023-01-04;33;0;0;0;89;False
2023-01-05;55;0;0;0;73;False
2023-01-06;24;0;7;0;73;False
2023-01-07;5;0;0;0;53;False
2023-01-08;29;10;0;6;84;False
2023-01-09;30;0;8;0;50;False
2023-01-10;41;0;12;0;79;False
2023-01-11;23;0;5;9;90;False
2023-01-12;38;0;26;6;75;False
2023-01-13;39;0;0;0;60;False
2023-01-14;18;9;0;10;56;False
2023-01-15;15;0;0;6;66;False
2023-01-16;67;0;0;0;68;False
2023-01-17;40;5;0;0;56;False
2023-01-18;34;0;0;0;80;False
2023-01-19;45;0;7;6;73;False
2023-01-20;26;24;0;5;59;False
2023-01-21;48;0;0;0;63;False
2023-01-22;30;26;0;10;70;False
2023-01-23;30;0;5;0;72;False
2023-01-24;39;0;6;0;55;False
2023-01-25;42;0;0;0;75;False
2023-01-26;38;0;0;7;68;False
2023-01-27;36;0;0;23;47;False
2023-01-28;26;0;9;7;66;False
2023-01-29;20;0;0;0;60;False
2023-01-30;52;0;0;0;100;False
2023-01-31;52;0;9;8;84;False
