date;Alternative Business Structures;Mortgage arrears;Josephine Baker;Turkmenistan;air travel;isPartial
2022-01-02;0;2;8;32;87;False
2022-01-09;0;2;6;56;100;False
2022-01-16;0;3;5;17;74;False
2022-01-23;0;2;7;17;82;False
2022-01-30;1;3;9;13;94;False
2022-02-06;2;3;8;13;93;False
2022-02-13;0;2;5;14;94;False
2022-02-20;0;1;5;18;95;False
2022-02-27;0;2;4;19;83;False
2022-03-06;0;1;9;17;88;False
2022-03-13;0;1;4;20;87;False
2022-03-20;0;1;7;24;85;False
2022-03-27;1;2;4;16;90;False
2022-04-03;0;2;5;22;84;False
2022-04-10;2;3;6;15;71;False
2022-04-17;0;2;6;18;78;False
2022-04-24;0;2;5;16;82;False
2022-05-01;2;1;7;24;84;False
2022-05-08;1;2;5;17;87;False
2022-05-15;0;0;8;10;90;False
2022-05-22;2;0;7;17;85;False
2022-05-29;0;2;3;18;87;False
2022-06-05;0;2;5;21;97;False
2022-06-12;0;0;2;21;87;False
2022-06-19;0;2;4;16;79;False
2022-06-26;0;2;6;20;85;False
2022-07-03;0;0;5;14;89;False
2022-07-10;0;1;5;15;92;False
2022-07-17;0;2;5;14;88;False
2022-07-24;0;2;2;12;87;False
2022-07-31;0;2;4;11;78;False
2022-08-07;0;0;4;13;76;False
2022-08-14;1;1;4;15;75;False
2022-08-21;0;2;7;10;65;False
2022-08-28;4;0;4;13;72;False
2022-09-04;0;1;9;15;77;False
2022-09-11;1;0;8;10;67;False
2022-09-18;0;2;3;15;66;False
2022-09-25;0;1;8;16;66;False
2022-10-02;0;3;4;16;63;False
2022-10-09;0;3;3;13;62;False
2022-10-16;0;2;5;11;55;False
2022-10-23;0;4;6;12;52;False
2022-10-30;0;1;4;14;51;False
2022-11-06;2;2;6;14;58;False
2022-11-13;1;2;9;14;48;False
2022-11-20;1;1;4;12;60;False
2022-11-27;3;2;3;11;59;False
2022-12-04;0;3;4;14;50;False
2022-12-11;0;2;3;13;52;False
2022-12-18;0;0;4;28;48;False
2022-12-25;0;2;8;12;64;False
2023-01-01;1;2;7;36;74;False
2023-01-08;0;1;9;15;69;False
2023-01-15;0;2;4;19;67;False
2023-01-22;0;4;7;11;62;False
2023-01-29;0;4;3;13;67;False
