date;virtual reality;City breaks;holly willoughby;Melanie C;air travel;isPartial
2022-01-02;6;17;16;1;9;False
2022-01-09;4;18;34;1;9;False
2022-01-16;5;19;36;0;7;False
2022-01-23;5;21;33;0;8;False
2022-01-30;4;19;28;1;9;False
2022-02-06;5;21;20;1;9;False
2022-02-13;4;20;14;1;9;False
2022-02-20;4;19;22;0;9;False
2022-02-27;3;16;26;0;8;False
2022-03-06;4;18;54;0;9;False
2022-03-13;4;18;28;0;9;False
2022-03-20;3;19;21;0;8;False
2022-03-27;4;19;15;0;9;False
2022-04-03;5;18;8;0;8;False
2022-04-10;4;18;20;0;7;False
2022-04-17;3;18;24;1;8;False
2022-04-24;4;18;17;0;8;False
2022-05-01;4;20;14;0;8;False
2022-05-08;4;18;29;0;9;False
2022-05-15;3;19;17;0;9;False
2022-05-22;3;19;19;1;8;False
2022-05-29;3;15;9;1;9;False
2022-06-05;4;16;14;1;10;False
2022-06-12;3;16;12;1;8;False
2022-06-19;2;17;15;1;8;False
2022-06-26;3;18;19;1;8;False
2022-07-03;3;16;22;1;9;False
2022-07-10;3;17;11;0;9;False
2022-07-17;3;18;5;1;9;False
2022-07-24;4;21;11;0;9;False
2022-07-31;3;20;21;0;8;False
2022-08-07;3;20;13;1;8;False
2022-08-14;3;20;10;0;7;False
2022-08-21;3;21;12;1;6;False
2022-08-28;3;23;10;0;7;False
2022-09-04;3;20;17;1;8;False
2022-09-11;3;24;26;1;7;False
2022-09-18;4;23;100;2;6;False
2022-09-25;3;22;31;1;7;False
2022-10-02;3;22;13;1;6;False
2022-10-09;3;21;18;1;6;False
2022-10-16;3;20;8;0;5;False
2022-10-23;4;20;12;0;5;False
2022-10-30;5;18;14;1;5;False
2022-11-06;5;18;9;1;6;False
2022-11-13;5;16;9;0;5;False
2022-11-20;5;15;7;0;6;False
2022-11-27;5;15;12;1;6;False
2022-12-04;4;13;11;0;5;False
2022-12-11;4;14;6;1;5;False
2022-12-18;5;15;5;1;5;False
2022-12-25;5;26;10;3;6;False
2023-01-01;4;36;8;6;7;False
2023-01-08;4;30;11;1;7;False
2023-01-15;3;31;11;1;7;False
2023-01-22;4;29;17;0;6;False
2023-01-29;3;28;15;1;7;False
