date;Yale University;molly-mae hague;Ethical and green living;Parks and green spaces;air travel;isPartial
2022-01-02;14;21;0;2;90;False
2022-01-09;20;9;0;2;98;False
2022-01-16;10;3;0;0;77;False
2022-01-23;13;3;0;1;84;False
2022-01-30;11;4;0;0;95;False
2022-02-06;10;1;0;0;96;False
2022-02-13;12;8;0;1;96;False
2022-02-20;12;3;0;1;98;False
2022-02-27;8;1;0;0;86;False
2022-03-06;13;0;0;0;90;False
2022-03-13;12;2;0;0;90;False
2022-03-20;13;2;0;0;88;False
2022-03-27;13;2;0;1;93;False
2022-04-03;13;1;0;0;85;False
2022-04-10;10;1;0;0;74;False
2022-04-17;11;5;0;0;82;False
2022-04-24;8;6;0;0;84;False
2022-05-01;11;2;0;1;87;False
2022-05-08;9;1;0;0;89;False
2022-05-15;12;1;0;0;93;False
2022-05-22;9;0;0;1;88;False
2022-05-29;10;1;0;0;90;False
2022-06-05;11;3;0;0;100;False
2022-06-12;8;1;0;0;87;False
2022-06-19;9;5;0;1;81;False
2022-06-26;8;3;0;0;87;False
2022-07-03;8;2;0;0;92;False
2022-07-10;9;9;0;0;95;False
2022-07-17;7;3;0;0;91;False
2022-07-24;10;1;0;0;90;False
2022-07-31;8;2;0;0;81;False
2022-08-07;12;0;0;0;78;False
2022-08-14;8;2;0;1;77;False
2022-08-21;8;3;0;2;67;False
2022-08-28;15;2;0;1;74;False
2022-09-04;10;2;0;0;80;False
2022-09-11;13;2;0;0;69;False
2022-09-18;9;1;0;0;66;False
2022-09-25;13;9;0;0;68;False
2022-10-02;12;2;0;0;65;False
2022-10-09;10;2;0;0;63;False
2022-10-16;11;0;0;1;57;False
2022-10-23;11;4;0;0;53;False
2022-10-30;10;1;0;0;53;False
2022-11-06;12;4;0;0;59;False
2022-11-13;12;3;0;0;50;False
2022-11-20;9;1;0;0;62;False
2022-11-27;12;2;0;1;61;False
2022-12-04;8;3;0;1;52;False
2022-12-11;12;2;0;0;53;False
2022-12-18;12;3;0;0;50;False
2022-12-25;10;5;0;0;66;False
2023-01-01;14;3;0;1;77;False
2023-01-08;12;3;0;0;71;False
2023-01-15;12;8;0;0;69;False
2023-01-22;8;14;0;0;64;False
2023-01-29;10;33;0;1;69;False
