date;Leicester City;Private healthcare;Candi Staton;Alex James;air travel;isPartial
2022-01-02;29;2;0;2;6;False
2022-01-09;24;2;0;2;7;False
2022-01-16;35;2;0;1;5;False
2022-01-23;26;3;0;2;6;False
2022-01-30;20;2;0;1;6;False
2022-02-06;55;2;0;1;6;False
2022-02-13;42;2;0;1;6;False
2022-02-20;34;2;0;1;7;False
2022-02-27;41;2;0;1;6;False
2022-03-06;26;2;0;1;6;False
2022-03-13;38;3;0;1;6;False
2022-03-20;25;2;0;2;6;False
2022-03-27;40;2;1;1;6;False
2022-04-03;28;2;0;1;6;False
2022-04-10;53;2;0;2;5;False
2022-04-17;58;2;0;1;5;False
2022-04-24;39;2;1;1;6;False
2022-05-01;61;2;0;1;6;False
2022-05-08;47;2;0;1;6;False
2022-05-15;50;2;0;1;6;False
2022-05-22;22;2;0;1;6;False
2022-05-29;15;2;0;1;6;False
2022-06-05;14;3;0;1;7;False
2022-06-12;16;2;1;1;6;False
2022-06-19;16;2;0;1;5;False
2022-06-26;16;2;0;1;6;False
2022-07-03;20;2;0;1;6;False
2022-07-10;20;2;1;1;6;False
2022-07-17;29;2;0;4;6;False
2022-07-24;24;2;0;2;6;False
2022-07-31;34;2;0;2;5;False
2022-08-07;73;2;0;1;5;False
2022-08-14;30;2;0;2;5;False
2022-08-21;55;2;0;2;4;False
2022-08-28;100;2;0;2;5;False
2022-09-04;53;2;0;1;5;False
2022-09-11;58;2;0;1;5;False
2022-09-18;26;2;0;1;5;False
2022-09-25;18;2;0;1;5;False
2022-10-02;71;2;0;2;4;False
2022-10-09;31;3;0;2;4;False
2022-10-16;40;2;0;1;4;False
2022-10-23;73;2;0;1;4;False
2022-10-30;29;2;0;1;4;False
2022-11-06;46;3;0;1;4;False
2022-11-13;15;3;0;2;3;False
2022-11-20;13;3;0;5;4;False
2022-11-27;14;3;0;1;4;False
2022-12-04;11;3;0;1;3;False
2022-12-11;13;3;0;1;4;False
2022-12-18;22;3;0;1;3;False
2022-12-25;87;2;1;2;4;False
2023-01-01;38;5;0;2;5;False
2023-01-08;49;6;0;1;5;False
2023-01-15;33;4;0;1;5;False
2023-01-22;28;4;0;1;4;False
2023-01-29;37;3;0;1;5;False
