date;Julie Cunningham;san francisco;Manus Island;Smartphones;air travel;isPartial
2022-01-02;0;83;1;7;30;False
2022-01-09;0;83;0;8;33;False
2022-01-16;0;91;0;10;26;False
2022-01-23;0;95;0;9;29;False
2022-01-30;0;88;1;9;32;False
2022-02-06;0;78;0;8;32;False
2022-02-13;0;80;0;9;32;False
2022-02-20;0;84;0;8;33;False
2022-02-27;0;75;0;9;29;False
2022-03-06;0;82;0;9;31;False
2022-03-13;0;87;0;10;30;False
2022-03-20;0;92;0;10;30;False
2022-03-27;0;90;0;8;31;False
2022-04-03;0;84;0;8;29;False
2022-04-10;0;85;0;9;25;False
2022-04-17;0;86;0;8;28;False
2022-04-24;0;84;0;9;29;False
2022-05-01;0;94;0;8;29;False
2022-05-08;0;90;0;8;30;False
2022-05-15;0;83;0;9;31;False
2022-05-22;0;86;1;8;30;False
2022-05-29;0;85;0;9;30;False
2022-06-05;0;88;0;9;34;False
2022-06-12;0;86;0;7;30;False
2022-06-19;0;90;0;7;28;False
2022-06-26;0;83;0;10;30;False
2022-07-03;0;89;0;8;31;False
2022-07-10;0;100;0;8;32;False
2022-07-17;0;93;0;8;31;False
2022-07-24;0;98;0;9;30;False
2022-07-31;0;96;0;8;27;False
2022-08-07;0;100;0;10;27;False
2022-08-14;1;84;0;8;26;False
2022-08-21;0;87;0;6;23;False
2022-08-28;1;89;1;8;25;False
2022-09-04;0;93;0;8;27;False
2022-09-11;0;90;0;9;24;False
2022-09-18;0;87;0;8;22;False
2022-09-25;0;95;0;9;23;False
2022-10-02;0;84;0;8;22;False
2022-10-09;0;77;0;8;21;False
2022-10-16;0;80;0;7;19;False
2022-10-23;0;82;0;6;18;False
2022-10-30;0;77;0;8;18;False
2022-11-06;0;80;0;8;20;False
2022-11-13;0;69;0;9;17;False
2022-11-20;0;62;0;10;21;False
2022-11-27;0;72;0;9;21;False
2022-12-04;0;68;0;9;18;False
2022-12-11;0;75;1;8;18;False
2022-12-18;0;80;0;8;17;False
2022-12-25;1;90;0;9;22;False
2023-01-01;0;95;0;6;26;False
2023-01-08;0;98;0;7;24;False
2023-01-15;0;97;0;7;24;False
2023-01-22;0;99;0;7;22;False
2023-01-29;0;92;0;8;23;False
