date;Reach (formerly Trinity Mirror);cop15;Gervonta Davis;Paris climate agreement;air travel;isPartial
2023-01-01;0;0;4;0;10;False
2023-01-02;0;0;2;0;11;False
2023-01-03;0;1;3;0;7;False
2023-01-04;0;2;5;2;11;False
2023-01-05;0;1;4;1;9;False
2023-01-06;0;2;9;0;9;False
2023-01-07;0;0;30;1;7;False
2023-01-08;0;0;100;0;11;False
2023-01-09;0;0;24;0;6;False
2023-01-10;0;1;8;2;10;False
2023-01-11;0;1;5;1;11;False
2023-01-12;0;1;4;0;9;False
2023-01-13;0;0;3;1;8;False
2023-01-14;0;0;4;0;7;False
2023-01-15;0;0;5;1;8;False
2023-01-16;0;0;14;0;9;False
2023-01-17;0;0;8;0;7;False
2023-01-18;0;2;6;0;10;False
2023-01-19;0;0;5;1;9;False
2023-01-20;0;1;4;0;7;False
2023-01-21;0;0;5;0;8;False
2023-01-22;0;0;3;0;9;False
2023-01-23;0;1;4;3;9;False
2023-01-24;0;2;3;1;7;False
2023-01-25;0;0;1;1;9;False
2023-01-26;0;1;0;0;9;False
2023-01-27;0;0;1;1;6;False
2023-01-28;0;0;2;0;8;False
2023-01-29;0;0;1;2;8;False
2023-01-30;0;0;4;1;13;False
2023-01-31;0;1;1;1;11;False
