date;Noah Baumbach;Gabon;Psychology;Black Panther;air travel;isPartial
2022-01-02;0;1;36;7;5;False
2022-01-09;0;7;48;7;5;False
2022-01-16;0;3;45;6;4;False
2022-01-23;0;2;45;6;4;False
2022-01-30;0;1;41;6;5;False
2022-02-06;0;1;46;6;5;False
2022-02-13;0;1;38;6;5;False
2022-02-20;0;1;41;6;5;False
2022-02-27;0;1;44;6;4;False
2022-03-06;0;1;46;6;5;False
2022-03-13;0;1;45;5;5;False
2022-03-20;0;1;45;5;5;False
2022-03-27;0;1;49;5;5;False
2022-04-03;0;1;42;5;4;False
2022-04-10;0;2;31;6;4;False
2022-04-17;0;1;38;5;4;False
2022-04-24;0;1;0;6;4;False
2022-05-01;0;1;49;6;5;False
2022-05-08;0;1;56;5;5;False
2022-05-15;0;1;56;6;5;False
2022-05-22;0;1;53;5;5;False
2022-05-29;0;1;0;5;5;False
2022-06-05;0;1;52;5;5;False
2022-06-12;0;1;47;5;5;False
2022-06-19;0;1;29;4;4;False
2022-06-26;0;1;26;4;5;False
2022-07-03;0;1;0;5;5;False
2022-07-10;0;1;22;6;5;False
2022-07-17;0;1;19;5;5;False
2022-07-24;0;1;20;25;5;False
2022-07-31;0;1;19;8;4;False
2022-08-07;0;1;19;6;4;False
2022-08-14;0;1;23;5;4;False
2022-08-21;0;1;25;6;3;False
2022-08-28;0;1;0;6;4;False
2022-09-04;0;1;40;6;4;False
2022-09-11;0;1;43;6;4;False
2022-09-18;0;1;37;7;3;False
2022-09-25;0;1;0;8;4;False
2022-10-02;0;1;44;17;3;False
2022-10-09;0;1;47;11;3;False
2022-10-16;0;1;43;12;3;False
2022-10-23;0;1;0;22;3;False
2022-10-30;0;1;0;35;3;False
2022-11-06;0;1;50;100;3;False
2022-11-13;0;1;48;98;3;False
2022-11-20;0;1;42;43;3;False
2022-11-27;0;1;44;25;3;False
2022-12-04;0;1;42;17;3;False
2022-12-11;0;1;33;16;3;False
2022-12-18;0;1;0;17;3;False
2022-12-25;0;1;19;19;3;False
2023-01-01;1;1;0;16;4;False
2023-01-08;0;1;48;11;4;False
2023-01-15;0;1;46;10;4;False
2023-01-22;0;2;45;10;3;False
2023-01-29;0;1;41;33;4;False
