date;Jude Bellingham;BFI;kemi badenoch;South Australia;air travel;isPartial
2022-01-02;3;9;0;6;8;False
2022-01-09;4;7;0;5;8;False
2022-01-16;2;7;0;5;7;False
2022-01-23;3;7;0;4;7;False
2022-01-30;3;8;0;4;8;False
2022-02-06;2;8;0;3;8;False
2022-02-13;4;9;0;3;8;False
2022-02-20;7;10;0;3;8;False
2022-02-27;2;9;0;4;7;False
2022-03-06;2;8;0;4;8;False
2022-03-13;2;9;2;3;8;False
2022-03-20;3;8;0;4;8;False
2022-03-27;7;8;0;4;8;False
2022-04-03;3;8;0;3;7;False
2022-04-10;2;7;0;3;6;False
2022-04-17;3;7;0;3;7;False
2022-04-24;3;8;0;4;7;False
2022-05-01;2;9;0;3;8;False
2022-05-08;4;7;0;3;8;False
2022-05-15;3;7;0;4;8;False
2022-05-22;3;7;0;3;8;False
2022-05-29;6;8;0;3;8;False
2022-06-05;7;7;0;3;9;False
2022-06-12;8;7;0;4;8;False
2022-06-19;4;6;0;4;7;False
2022-06-26;6;6;0;5;8;False
2022-07-03;7;7;19;5;8;False
2022-07-10;4;6;100;6;8;False
2022-07-17;3;6;39;4;8;False
2022-07-24;3;6;2;3;8;False
2022-07-31;3;8;1;4;7;False
2022-08-07;3;7;1;4;7;False
2022-08-14;3;7;0;4;7;False
2022-08-21;5;6;0;8;6;False
2022-08-28;7;9;1;9;6;False
2022-09-04;3;12;9;4;7;False
2022-09-11;10;12;1;4;6;False
2022-09-18;10;10;1;3;6;False
2022-09-25;12;10;1;4;6;False
2022-10-02;7;13;1;4;6;False
2022-10-09;5;13;1;5;5;False
2022-10-16;4;9;6;4;5;False
2022-10-23;7;7;12;3;5;False
2022-10-30;7;8;2;4;5;False
2022-11-06;8;9;1;6;5;False
2022-11-13;9;9;0;5;4;False
2022-11-20;94;9;0;7;5;False
2022-11-27;37;9;1;5;5;False
2022-12-04;96;9;0;4;4;False
2022-12-11;38;10;0;7;5;False
2022-12-18;26;10;0;7;4;False
2022-12-25;22;8;0;14;6;False
2023-01-01;14;11;0;12;7;False
2023-01-08;13;11;0;7;6;False
2023-01-15;11;10;1;4;6;False
2023-01-22;13;10;1;5;5;False
2023-01-29;11;11;0;4;6;False
