date;Technology;Art theft;Independent Office for Police Conduct;Biography books;air travel;isPartial
2022-01-02;77;1;0;1;11;False
2022-01-09;91;0;0;1;12;False
2022-01-16;90;0;0;1;9;False
2022-01-23;100;0;0;1;10;False
2022-01-30;88;0;0;1;11;False
2022-02-06;90;0;0;0;11;False
2022-02-13;95;0;0;1;11;False
2022-02-20;90;0;0;0;12;False
2022-02-27;91;0;0;1;10;False
2022-03-06;98;0;0;1;11;False
2022-03-13;97;0;0;1;11;False
2022-03-20;93;0;0;0;10;False
2022-03-27;99;0;0;0;11;False
2022-04-03;87;0;0;1;10;False
2022-04-10;66;0;0;0;9;False
2022-04-17;79;0;0;1;9;False
2022-04-24;92;0;0;0;10;False
2022-05-01;91;0;0;1;10;False
2022-05-08;98;0;0;0;11;False
2022-05-15;91;0;0;1;11;False
2022-05-22;88;0;0;1;10;False
2022-05-29;55;0;0;1;11;False
2022-06-05;91;0;0;1;12;False
2022-06-12;89;0;0;1;11;False
2022-06-19;80;0;0;0;10;False
2022-06-26;69;0;0;0;10;False
2022-07-03;75;0;0;1;11;False
2022-07-10;70;0;0;1;11;False
2022-07-17;74;0;0;1;11;False
2022-07-24;62;0;0;0;11;False
2022-07-31;60;0;0;1;9;False
2022-08-07;65;0;0;1;9;False
2022-08-14;60;0;0;1;9;False
2022-08-21;68;0;0;1;8;False
2022-08-28;62;0;0;1;9;False
2022-09-04;82;0;0;1;9;False
2022-09-11;86;0;0;1;8;False
2022-09-18;80;0;0;0;8;False
2022-09-25;91;0;0;1;8;False
2022-10-02;87;0;0;1;8;False
2022-10-09;88;0;0;1;8;False
2022-10-16;87;0;0;1;7;False
2022-10-23;78;0;0;0;6;False
2022-10-30;91;0;0;1;6;False
2022-11-06;92;0;0;1;7;False
2022-11-13;97;0;0;1;6;False
2022-11-20;85;0;0;1;7;False
2022-11-27;88;0;0;1;7;False
2022-12-04;86;0;0;1;6;False
2022-12-11;79;0;0;1;6;False
2022-12-18;52;0;0;1;6;False
2022-12-25;41;0;0;1;8;False
2023-01-01;71;0;0;1;9;False
2023-01-08;91;0;0;1;8;False
2023-01-15;97;1;0;1;8;False
2023-01-22;94;0;0;0;7;False
2023-01-29;98;0;0;1;8;False
