date;British & Irish Lions;Skiing;Colin Farrell;Daisy Ridley;air travel;isPartial
2022-01-02;0;77;11;4;15;False
2022-01-09;0;86;12;4;17;False
2022-01-16;0;82;7;3;13;False
2022-01-23;0;78;7;3;14;False
2022-01-30;0;76;6;3;16;False
2022-02-06;0;100;6;4;16;False
2022-02-13;0;87;5;4;16;False
2022-02-20;0;63;8;3;16;False
2022-02-27;0;52;23;3;14;False
2022-03-06;0;50;34;2;15;False
2022-03-13;0;40;18;7;15;False
2022-03-20;0;37;12;3;15;False
2022-03-27;0;31;9;4;16;False
2022-04-03;0;28;7;5;14;False
2022-04-10;0;23;8;6;12;False
2022-04-17;0;18;14;4;14;False
2022-04-24;0;17;12;3;14;False
2022-05-01;0;17;11;3;15;False
2022-05-08;0;14;7;4;15;False
2022-05-15;0;14;6;4;16;False
2022-05-22;0;13;6;3;15;False
2022-05-29;0;12;8;4;15;False
2022-06-05;0;13;7;3;17;False
2022-06-12;0;18;6;3;15;False
2022-06-19;0;14;6;3;14;False
2022-06-26;0;15;5;3;15;False
2022-07-03;0;15;7;3;15;False
2022-07-10;0;17;6;3;16;False
2022-07-17;0;15;5;3;15;False
2022-07-24;0;17;5;2;15;False
2022-07-31;0;22;7;2;14;False
2022-08-07;0;18;10;1;13;False
2022-08-14;0;18;9;2;13;False
2022-08-21;0;20;6;2;11;False
2022-08-28;0;20;6;2;12;False
2022-09-04;0;22;7;1;13;False
2022-09-11;0;23;5;2;12;False
2022-09-18;0;25;5;2;11;False
2022-09-25;0;26;5;5;11;False
2022-10-02;0;28;6;5;11;False
2022-10-09;0;28;18;5;11;False
2022-10-16;0;31;24;4;10;False
2022-10-23;0;31;20;2;9;False
2022-10-30;0;33;15;2;9;False
2022-11-06;0;37;11;2;10;False
2022-11-13;0;39;8;2;8;False
2022-11-20;0;37;6;1;10;False
2022-11-27;0;44;7;2;10;False
2022-12-04;0;46;6;2;9;False
2022-12-11;0;63;10;1;9;False
2022-12-18;0;60;15;4;8;False
2022-12-25;0;92;21;3;11;False
2023-01-01;0;94;15;2;13;False
2023-01-08;0;68;33;2;12;False
2023-01-15;0;68;25;2;12;False
2023-01-22;0;67;20;3;11;False
2023-01-29;0;62;15;2;12;False
