date;Danny Trejo;Top Gun: Maverick;Richard E Grant;Alexander Skarsgård;air travel;isPartial
2022-01-02;1;1;2;2;8;False
2022-01-09;4;0;7;2;9;False
2022-01-16;2;1;3;1;7;False
2022-01-23;1;1;2;1;8;False
2022-01-30;1;1;1;1;9;False
2022-02-06;1;1;1;1;9;False
2022-02-13;1;1;1;2;9;False
2022-02-20;1;1;1;1;9;False
2022-02-27;1;1;1;1;8;False
2022-03-06;1;1;17;1;8;False
2022-03-13;1;1;6;1;8;False
2022-03-20;1;1;2;1;8;False
2022-03-27;1;5;1;1;8;False
2022-04-03;1;2;1;3;8;False
2022-04-10;1;2;1;4;7;False
2022-04-17;1;3;2;5;7;False
2022-04-24;1;4;1;4;8;False
2022-05-01;1;11;1;3;8;False
2022-05-08;1;21;1;2;8;False
2022-05-15;1;41;1;2;8;False
2022-05-22;1;74;2;2;8;False
2022-05-29;1;100;2;1;8;False
2022-06-05;1;60;2;1;9;False
2022-06-12;1;43;2;1;8;False
2022-06-19;1;36;3;1;7;False
2022-06-26;1;31;2;1;8;False
2022-07-03;1;26;2;1;8;False
2022-07-10;1;21;3;1;9;False
2022-07-17;2;21;2;1;8;False
2022-07-24;1;23;2;1;8;False
2022-07-31;1;21;2;1;7;False
2022-08-07;1;20;1;1;7;False
2022-08-14;1;27;1;1;7;False
2022-08-21;1;47;1;1;6;False
2022-08-28;1;41;3;1;7;False
2022-09-04;1;24;2;1;7;False
2022-09-11;1;16;3;1;6;False
2022-09-18;1;17;3;1;6;False
2022-09-25;1;14;15;1;6;False
2022-10-02;1;13;4;1;6;False
2022-10-09;1;12;4;1;6;False
2022-10-16;1;11;4;0;5;False
2022-10-23;1;11;3;1;5;False
2022-10-30;1;12;5;1;5;False
2022-11-06;1;9;13;1;5;False
2022-11-13;0;8;4;1;4;False
2022-11-20;1;8;2;2;6;False
2022-11-27;1;9;2;1;5;False
2022-12-04;1;8;3;1;5;False
2022-12-11;0;11;3;1;5;False
2022-12-18;1;24;5;1;4;False
2022-12-25;2;33;5;1;6;False
2023-01-01;1;18;3;1;7;False
2023-01-08;1;9;2;1;6;False
2023-01-15;1;8;2;1;6;False
2023-01-22;1;9;3;1;6;False
2023-01-29;1;7;7;1;6;False
